v_id,creator,desc,duration,likes,comments,sound,tags
7092509562871270662,"randomshit.tiktok","Wanneer papa kinderen van school haalt😂😂😂",64.713,11900,290,"origineel geluid - RandomShit🤣","['#fy', '#voorjou', '#viral', '#foryou', '#fyp', '#foryoupage', '#foryou', '#voorjou', '#fy', '#viral', '#foryou']"
7107545973026491653,"medha0677","Incroyable des gens sans gène",107.436,48900,336,"son original - Medha","['#drole', '#pourtoi', '#foryou']"
7106531150356548870,"nicocaponecomedy","😂😂😂😂😂😂",22.939,1700000,7161,"son original - nicocapone.comedy","[]"
7107275289503255813,"hiso_5","",84.148,502100,665,"Love You So - The King Khan & BBQ Show","['#foryou', '#animation', '#weeb', '#fyp', '#viral', '#fypシ', '#hiso_5', '#animeob911', '#shadowsqd', '#anime']"
7107532111535492353,"abbduuu21","🐝🐝🐝🐝🐝🐝🐝🐝",119.998,235600,5029,"الصوت الأصلي - بوشنب⭐️","[]"
7107032168215383339,"wlimitate","Shoeshine",84.102,8795,107,"original sound - wlimitate","['#commercialfire', '#generalmerchandise', '#sell', '#shoeshine', '#Business', '#foryou']"
7099685463090367750,"larsgoossens","Niks in de zakken, niks in de mouwen … 🤷🏻‍♂️ MAGIC 🪄",9.216,852,85,"Remember the Name (feat. Styles of Beyond) - Fort Minor","['#fyp', '#magic', '#cyborg']"
7106532223918034181,"inesriviere_","Joco si tu cherches des acteurs pour une nouvelle saison tu me tel",33.04,125900,610,"son original - Inès 🤹🏻‍♀️","['#alaise', '#fyp']"
7104315962811337990,"loredanag30","",8.589,88600,487,"Ya Nour el Ein - Adium Remix - Massari","['#fyp', '#ladybarber']"
7093077592902831366,"anaskasmirsb","Eidkoum moubarak strijders❤️",9.704,59000,1124,"original sound - katnuf","['#eid', '#moubarak']"
7081214031834402054,"7777sim","",10.309,304000,261,"Impi - Johnny Clegg & Juluka","[]"
7091756799489068294,"sami2bx","T’aurais pris l’argent ? 🤣💶",41.399,13300,58,"Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey","['#foryou', '#pourtoi', '#mdr', '#prank', '#argent', '#fou', '#drole', '#fail', '#virale', '#fypシ']"
7107555577265392901,"juliasphouse","Friday restock✨ Any plans for the weekend?❤️",17.343,7878,21,"original sound - JuliasPhouse","['#asmr', '#restock', '#organizedhome', '#fyp']"
7106602182270586118,"maakhetfijn.nl","Antwoorden aan",15.207,6673,156,"Jiggle Jiggle - Duke & Jones & Louis Theroux","['@brendadijkstravandijk', '#bublegum', '#foryoupage', '#viral', '#fijnmaken']"
7088006851454930181,"mictail","😂😂😂",8.428,514600,2681,"original sound - Shane Nagy","['#fypシ']"
7084648068901129477,"alinedessine","J’suis imprévisible 😈😎 ( j’aime trop cette trend mais mon canapé l’aime beaucoup moins)",19.108,300000,2061,"original sound - Warren🖤","[]"
7106217162355870981,"tigerrjt","",60.207,644900,2951,"Laughing - Gianluca Marino","['#funny', '#pranks', '#prank', '#funnvideos', '#video', '#🤣🤣', '#funnyvideo', '#foryoupage❤️❤️❤️❤️', '#foryou']"
7094076316366015787,"m.s.techz","Overshot it 🥲",11.538,314900,260,"original sound - M.S.Techz","['#BBPlayDate', '#asmr', '#mistake', '#paper', '#print', '#papercut', '#oddlysatisfying', '#trifold', '#menu', '#pizza', '#nails']"
7099001423442054405,"archistackt","Handhaver Archi houdt criminele activiteiten weg van de perrons❗ Kaulo duiven🤦🏾‍♂️",7.499,137200,2731,"origineel geluid - Archi","['#voorjou', '#viral', '#prank', '#meme', '#rotterdam', '#fypシ', '#metro', '#grappig', '#duiven']"
7077251349917863174,"d_totti","",27.537,67900,195,"original sound - Donell Totti","['#donelltotti']"
7107259330084359429,"leaa.hrn_","En mode camera cachée",11.677,120800,918,"original sound - Pierce Westbrook","['#fypシ', '#humour']"
7085482875256196358,".aymen.le.bledard","",14.603,20400,153,"son original - 😂 █ 🅰🆈🅼🅴🅽 █ 😂","[]"
7097995194594823429,"patshelymayumbi","",13.21,107500,3287,"son original - Patshely Mayumbi","[]"
7107340151914777861,"pilusion","Say My Name",16.646,93800,760,"Breaking Bad Main Title Theme (Extended) - Dave Porter","['#DIY']"
7087957258830662918,"cocon_de_nesty","Ответ пользователю",12.629,14100,148,"оригинальный звук - Anastasiya","['@mmmaria_filimonova']"
7091752278452948229,"thecryhub.com","",32.344,1700000,29700,"original sound - thecryhub.com","['#fyp', '#viral', '#sad', '#cryhub', '#thecryhub', '#sadquotes', '#pain']"
7083983142096342278,"jokefuun","The dictator",29.371,12900,178,"Einaudi: Experience - Ludovico Einaudi & Daniel Hope & I Virtuosi Italiani","[]"
7105043096101997870,"gainshake","Bottle is the GAINShake. What should I try next?",17.25,1600000,3229,"Mne malo malo tebya - Seth","['#gymtok', '#gainshake', '#preworky', '#powerlifting', '#perfectscoop']"
7089070179069463813,"ken...demarteau","",26.979,10100,72,"origineel geluid - Ken demarteau","['#thebluecrew💙', '#fy', '#fyp']"
7100188952711154950,"endeavor7533","",9.193,73700,493,"sonido original - Esteve <3","['#fyp', '#foryou']"
7106564443064110342,"vildemarkstrom","Dilligaf",8.937,386800,1257,"DILLIGAF - Simply Cricket","['@Qarro Kroik']"
7106621039924235526,"le_trou_noir_","je vous remets cette master-classes 😂😎",29.233,296500,309,"son original - ⛩vesto 🍃🌱","['@kamera.kastros', '#fypシ']"
7098659806235479302,"mohamed1977chhar","",8.775,338,40,"الصوت الأصلي - فجر","['#بلجيكا🇧🇪', '#السعودية_الكويت_مصر_العراق_لبنان', '#سورية🇸🇾', '#ديتو', '#دبي_الامارات']"
7098984704086461697,"the.harris.familyy","3 back to back pregnancies has me done! At least Chasey now has a little best friend!",10.563,2100000,9364,"Thats What I want - mafraud","['#pregnancy', '#pregnancyjourney', '#irishtwins', '#fail', '#mumsoftiktok', '#mumlife', '#2under2', '#viral', '#parenting', '#postpartum', '#woops', '#humor', '#funny', '#viral', '#fy', '#fyp']"
7090505697162562821,"erosversace","Adele’s turn",17.273,244500,9887,"suono originale - Eros","['#adele', '#adele30', '#carpoolkaraoke', '#spicegirlswannabe']"
