v_id,creator,desc,duration,likes,comments,sound,tags
7100564177860742406,"gabriel.franzetti","Strong outdoor training! Would you like to try it out?",70.122,None,None,"suono originale - Gabriel Franzetti","[]"
7096399788383456517,"forpaul1973","Paul Walker nissan GTR",38.078,None,None,"origineel geluid - 😔paul walker😔","['#paulwalker', '#nissangtr', '#skills', '#wemissyou']"
7089297723161152773,"rand0m.girlss2","REVEAL!! 💪💪",72.305,None,None,"origineel geluid - weirdos 💪","['#MakeNightsEpic', '#fyp', '#slime', '#random', '#cool', '#chalk', '#lol']"
7098158710777875758,"_andcarli_","",73.558,None,None,"original sound - _Andcarli_","['#fyp', '#viral', '#trending', '#fypシ']"
7106928708253977857,"cznburak","Sizce güzel olmuş mu?😂🙈❤️‍🔥👩‍🍳",10.168,None,None,"cook clean plot twist tyananana - tyana","[]"
7104695394482818309,"turkishdrama74","",52.359,None,None,"Don’t Blame Me - Taylor Swift","['#fyp', '#foryou', '#foryoupage', '#fyp', '#goviral', '#explore', '#drama', '#dramas', '#turkishdrama', '#turkishseries', '#turkishmovie', '#turkishmovies', '#love', '#lover', '#lovers', '#cute', '#pretty', '#beautifulgirl']"
7096410430242934021,"iam.khabe.lame","",15.416,None,None,"Tanz wie Khaby Lame - Bovann Musik 🎶","[]"
7104935452813085998,"hiep659us312","",64.132,None,None,"မူရင်းအသံ - hiep659us312","[]"
7106829316545154310,"hero.video1","when you are in love",82.801,None,None,"Love Story - Indila","['#animation', '#anime', '#viralvideo', '#fyp', '#foryoupage', '#4u', '#film', '#foryou', '#badasse', '#treanding', '#moviescene', '#movies', '#movie', '#fypシ', '#shadowsqd', '#viral']"
7109552438394309890,"police_man07","",99.427,None,None,"心疼 - Dalel","[]"
7101864098987642113,"eityu88","",28.607,None,None,"オリジナル楽曲 - eityu","['#tiktok', '#real', '#part1', '#funny', '#pringles']"
7103067534491913478,"funn.stuffs","",33.713,None,None,"Oh No - Kreepa","['#fyp', '#foryou', '#fy', '#wtf', '#funnyvideos', '#fun', '#funnyvideo', '#car', '#usa', '#moment']"
7104360136344440069,"xbal_x","😂",38.845,None,None,"original sound - Mochi 🐱","['#cat', '#cats', '#katze', '#kater', '#katzen', '#fyp', '#britishshorthair', '#fy', '#catsoftiktok']"
7085468667617496325,"jeanpascalananas_garnaal","Euhm goeie edit toch??😅🤌🏾",17.482,None,None,"origineel geluid - Jean-Pascal Ananas","['#fyp', '#voorjou', '#pourtoi', '#onedirection', '#jeanpascalananas', '#capcut_edit']"
7100262710344043782,"ferjani_safiii","Le dernier s’est énervé 😳",18.295,None,None,"Love You So - The King Khan & BBQ Show","['#brussels', '#gaypride', '#funnyvideos', '#mdr']"
7109771136816155909,"thegrafitykids","Reply to",60.253,None,None,"Underground Sound - Joey Valence","['@..iucas', '#mop', '#tutorial', '#grafity', '#saturate']"
7082312038432640262,"ken...demarteau","",36.499,None,None,"Send Me on My Way - Vibe Street","['#thebluecrew💙', '#fy', '#fyp']"
7107345041986718981,"thesorrygirls","share this with someone who definitely needs this tool 🥰",12.885,None,None,"Angeleyes (Sped Up Version) - tuna (DAR+LING)","['#cleantok', '#cleaning', '#tools', '#painting']"
7109112960844320006,"turkixedits","Respect🙌|",32.459,None,None,"Love You So - The King Khan & BBQ Show","['#thebrideofhabaek', '#kdrama', '#kdramas', '#fypシ', '#keşfett', '#respect', '#kindness', '#kind', '#cdrama', '#xyzbca', '#fypage', '#unlockmylikes', '#algorithm', '#viral', '#vsp', '#fyp', '#netflix', '#drama']"
7101303629163826438,"mbarco.m","MDR LE DERNIER…😭💀 IK GA STUK, DE LAATSTE…😭💀",17.436,None,None,"Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey","['#bruxelles', '#funny', '#drole', '#prank', '#nl']"
7101292925187034414,"nicksmithy.mann","",59.162,None,None,"original sound - 👑 nicksmithy.mann Fan 👑","['#itsmenicksmithy', '#meme', '#viral', '#troll', '#fyp', '#foryou', '#foryoupage', '#fyp', '#fy', '#funny', '#fypage', '#foru']"
7106825042872241414,"bellewaerde_official","Lunch break! 😋 Describe your favourite snack with an emoticon! 🍟",7.197,None,None,"Love You So - The King Khan & BBQ Show","['#bellewaerde', '#foryou', '#lunch', '#lunchtime', '#dasnienormaal', '#untrucdedingue']"
7089102558492495109,"michabilous","Ce sera pas pour cette fois …",23.055,None,None,"Love You So - The King Khan & BBQ Show","['#art', '#draw', '#dessin']"
7105814971560365317,"respect_moments.off","The end is 🤯 !! What is your favorite clip ?? 🔥",14.417,None,None,"original sound - Stephanie Box","['#respect', '#omg', '#fyp']"
7091715883285957893,"armeen_official","Reply to",10.47,None,None,"RABENGA - Alex Armeen","['@kijk_a.markt', '#rabenga', '#festival', '#viral', '#xyzbca']"
7081279929354063110,"mrkrul","Ik dacht dat de deksel het kon tegenhouden 😅 verkeerd gedacht",29.023,None,None,"Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey","['#orbeez', '#waitforit']"
7107681779296832774,"royal_giant_","",20.663,None,None,"original sound - Hi","['#fyp', '#foryou', '#yourmonth', '#yourthing']"
7087194011248774406,"regenbooglland","deze twee, zoveel liefde 🥹🫶🏻",10.586,None,None,"original sound - ell 🏳️‍⚧️","['#k3', '#vtmthevoicekids', '#hanneverbruggen', '#marthedepillecyn', '#juliaboschman']"
7103899240597867782,"ldpettiktok","Cat:He hit me first.",18.318,None,None,"original sound - ldpettiktok","['#cat', '#catsoftiktok', '#fyp', '#foryou', '#foryoupage']"
