v_id,creator,desc,duration,likes,comments,sound,tags
7077082572014062849,"saidking801","",60.162,3300000,33400,"Laughing - Gianluca Marino","['#ad', '#foryou', '#viral', '#🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣', '#🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣', '#🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣']"
7078035720891387142,"vlaamsebelastingdienst","dash niehh ghoee hee",10.307,127900,5118,"origineel geluid - VLABEL","['#limburg', '#accent', '#heusden', '#heusdenzolder', '#karma']"
7070781063857032453,"alfredmax","Turkey number 1🤝",39.146,20300,770,"original sound - Amax tv","['#fypシ', '#pourtoi', '#voorjou', '#antwerpen', '#amaxtv']"
7062007888625044741,"simon_leviev_official","It’s just business 💸",8.194,1300000,24500,"Do It To It - ACRAZE","['#tindermoney', '#thankyou', '#love', '#foryou', '#fyp', '#foryoupage', '#youpaid', '#forever', '#easymoney', '#netflix', '#tinder', '#takecare']"
7056859379190041861,"nugoedlachen","",25.911,5617,67,"origineel geluid - Nu goed lachen","['#viral', '#viralvideo', '#foryourpage', '#foryour', '#fly', '#tiktok', '#funny', '#😂', '#🙈', '#❤️', '#😜', '#👍', '#😱', '#hellotiktok', '#🤔', '#😏', '#😂😂', '#😃', '#comedy', '#👀', '#😃😃😃']"
7077857604785016070,"pogforever","Le stress…",11.77,21600,123,"son original - Pog","['#pog', '#tesla', '#crash']"
7046471231901633797,"caskroket","eerste van dit account",9.682,5021,133,"Pepas - Farruko","['#vroeger', '#nu', '#fyp', '#foryoupage', '#homealone', '#kerst']"
7069093688864967942,"kadomax","",59.626,5731,472,"Le Calin - 斌杨Remix","[]"
7075677563141639429,"dz.be59","Maar ik voel de vibe wel👍🏼",8.659,17500,481,"Vonneke pepepe - fabienne prins","['#guesstheplayer', '#foryou', '#foryoupageofficiall', '#foryoupage', '#fypシ', '#voorjou', '#trending']"
7071970887683149062,"gaielletkint","",9.239,13200,382,"оригинальный звук - _malifisenta007_","['#fyp', '#newtrend', '#fy', '#chiro', "@McDonald's"]"
7067326720986172719,"xeqzi","Fake Video ‼️ |",26.306,3000000,16400,"original sound - Xeqzi 🏀","['#fyp', '#sports', '#basketball', '#foryou', '#foryoupage', '#xeqzi']"
7077964487856344325,"piva_antwerpen","Blus-opleidingen voor onze 5de jaars.. better safe than sorry!",16.88,4814,49,"Ring of Fire - Johnny Cash","['#hotelschool', '#piva', '#brandweer', '#safetyfirst']"
7070909783443918082,"shanebarwarii","",8.032,658400,3525,"original sound - g ☾☼☆★","['#fyp', '#foryou', '#explore', '#foryoupage', '#fy', '#birthdaygirl', '#itsmybirthdaytada', '#trending', '#trend', '#viral', '#tiktok', '#اكسبلور', '#ترند', '#ترند_تيك_توك', '#erbil', '#hawler']"
7049786449717218565,"lorenzoserino","Fast workers (P59) insta: Lorenzoserino",19.038,53900,157,"how GREAT I am by Aj Greene - AJ📺","['#fastworkers', '#fast', '#workers', '#galettemania', '#belgium🇧🇪', '#brussels', '#reaction', '#lorenzoserino']"
7054092071539428614,"kkbezem","",6.337,34700,3984,"origineel geluid - ...","['#foryou', '#fyp', '#xbyzca']"
7073423941594828037,"alexandros_dmtr","",28.976,5400000,49800,"오리지널 사운드 - Maytree 메이트리","['#fyp']"
7050174287952497926,"elifsigmaz","girls of volvo 😀",13.42,4494,42,"Originalton - Mortha.ali2","['@lottederycke']"
7076820971667066118,"do.ri.ne","😂😂😂",11.631,27000,782,"CANADA - 1PLIKÉ140","['#namur', '#belgium', '#fyp']"
7068747593420967173,"briar_cares","Oldest woman in the world 🌎",11.77,11000000,376000,"Hrs and Hrs - Muni Long","['#viral', '#viralvideos', '#tiktok']"
7077599768385457414,"mrkrul","Waarom zou er een verschil zijn tussen een zijruit en een voorruit 😁",10.098,10700,238,"original sound - Mrkrul","['#waitforit', '#dutch']"
7073867337723596037,"girls_things_only_","Lets goooo",17.855,1643,204,"use this sound if your based - Xensogod | أنا دائما أشاهد 🔮","['#fy', '#fyp', '#foryou', '#foryoupage', '#blowthisup', '#viral', '#fypage', '#fypシ', '#girls_things_only_', '#forgirlsonlyfy', '#eastheticfy', '#helden']"
7069746494261300486,"moneyypool","",25.47,11200,420,"Originalton - MoneyyPool","[]"
7070613433561009413,"khouvanumama","Papa was beetje boos… Negeer mijn hoofd aub",7.683,18700,256,"nbayoungboat or wtv - Drea/Luna🧝🏾","[]"
7067255678729030917,"cuprapops","Pour ceux qui veulent participer le concours est ouvert pendant 3 semaines! 🥶 Instagram :Cuprapops",7.939,4164,34,"GLAIVE - Booba","['#giveaway', '#concours', '#instagram', '#fyp', '#trend', '#viral']"
7077538910531898626,"alynemrhn","Açı her şeydir arkadaşlar 😂",6.546,53200,163,"orijinal ses - ALEYNA & EMİRHAN","[]"
7046021615926152454,"funny_lol.hahaha","Zie jij de verschillen?",18.411,28300,242,"origineel geluid - This is funny 😆","['#fy', '#fypシ', '#fyp', '#van', '#foryourpage', '#foryoupage', '#voorjou', '#pageforyou', '#pageforyour', '#xyzbca', '#fypfypfyp', '#viralllllll', '#pourtoi', '#voor']"
7054250715044269317,"alena4h56","",15.207,9783,34,"Meine Bürštë in Bl0 - alena4h56","[]"
7074567762705779973,"dibujo.tu.palabra","👁👄👁",7.964,738900,1415,"Say it Right - 👛","['@jasonderulo']"
7062351071624203525,"ken...demarteau","",39.657,3200000,38700,"We Don't Talk About Bruno - Carolina Gaitán - La Gaita & Mauro Castillo & Adassa & Rhenzy Feliz & Diane Guerrero & Stephanie Beatriz & Encanto - Cast","['#thebluecrew💙', '#fyp', '#fy']"
7068723455369301249,"bree3960","",6.919,2212,11,"sonido original - Sr. Lucifer","['#usa', '#belgium', '#foryoupage', '#xyzbca', '#tiktokbelgium', '#letsmakeitgoviral', '#fyp', '#world', '#viraal', '#viral', '#fypシ']"
7076088974262947078,"moneyypool","",8.914,14800,620,"Originalton - MoneyyPool","[]"
7064184410014321925,"thisindraa","It's the license plate for me 💁🏻‍♀️",6.964,4788,23,"Mujeriego - Ryan Castro","['#mercedes', '#cklasse', '#car', '#fyp', '#voorjou', '#fy', '#foryoupage', '#limburg']"
