v_id,creator,desc,duration,likes,comments,sound,tags
7075079666565909765,"angelicalaughingemoji","",4.927801,126,15,"original sound - Angelica","['#wlm', '#jew', '#jewish', '#black', '#blm', '#blacklivesmatter', '#european', '#monkey', '#fyp', '#based', '#farright', '#4chan', '#kpop', '#lgbtq', '#meme', '#funny']"
7070260096269290757,"angelicalaughingemoji","",22.08,71,8,"original sound - Angelica","['#transgender', '#lgbtq', '#lgbtqfriendly', '#loveislove', '#farright', '#based', '#georgefloyd', '#straight', '#ywnbaw', '#redpill', '#kpop', '#fyp', '#usa']"
7060929250337082630,"angelicalaughingemoji","",14.417,61,3,"original sound - Angelica","['#trans', '#transgender', '#lgbtq', '#fyp', '#YWNBARW', '#farright', '#rightwing', '#based', '#funny', '#fypシ']"
7044588680190659845,"angelicalaughingemoji","",6.592,89700,72,"original sound - Angelica","['#gypsy', '#crusader', '#gypsycrus', '#based', '#rightwing', '#fyp', '#european', '#whitelivesmattr', '#blm']"
7040529219796864262,"angelicalaughingemoji","",1.484,84,11,"Best girlfriend in the world - xgilham","['#blm', '#fyp']"
7034203918934625541,"angelicalaughingemoji","",9.17,57000,35,"original sound - Angelica","['#crimestatistics', '#51percent', '#blm', '#fyp']"
7033030007056338182,"angelicalaughingemoji","",10.029,389,9,"original sound - Angelica","['#fyp', '#gg']"
7032693527389752582,"angelicalaughingemoji","",6.592,147,3,"original sound - Angelica","['#lgbt', '#nonbinary', '#trans', '#lgbtq', '#fyp']"
7032290179977153798,"angelicalaughingemoji","",6.43,451,6,"original sound - Angelica","['#fyp']"
7031990243746254086,"angelicalaughingemoji","Ok ni",9.402,998,11,"original sound - Angelica","['#blm', '#alm', '#fyp']"
7031942178058374406,"angelicalaughingemoji","",9.796,342,1,"original sound - Angelica","['#jew', '#dababy', '#based']"
7031887543402614022,"angelicalaughingemoji","Reply to",6.244,796,1,"original sound - Angelica","['@userqeryuiii', '#fyp']"
7031866399739972869,"angelicalaughingemoji","George folyd pillow??!?!? 😳😳😂😂😂‼️‼️😤😤😤😤🅱️🅱️🅱️",5.849,464,8,"original sound - Angelica","['#georgefloyd', '#alm', '#fyp']"
7031572937299856645,"angelicalaughingemoji","Failed the first day",15.23,291500,683,"original sound - Angelica","['#nnn']"
7031251398700387589,"angelicalaughingemoji","If you’re an afab enby, your opinion is automatically invalid.",7.265,252,88,"original sound - bee :-))","['#enby', '#gender', '#lgbtq', '#kpopfyp', '#chuu', '#loona']"
