v_id,creator,desc,duration,likes,comments,sound,tags
7085964124324105473,"beautiful_europa","",65.34,29,1,"Viking War Music: Kill Them All - Pawl D Beats","['#whitepeoplethings', '#masculine', '#westerncivilization', '#europeans', '#nomorediversity', '#europe', '#whitepeople', '#whitecivilization', '#whitementhings', '#fyp', '#foryou', '#foryoupage', '#foryourpage', '#fypシ']"
7083731529096023298,"beautiful_europa","",60.162,102,12,"You Are The Reason - Alex Porat","['#nomorediversity', '#masculine', '#feminine', '#europe', '#europeans', '#motherhood', '#europeanbeauty', '#whitepeople', '#whitebeauty', '#whitecivilization', '#fyp', '#foryou', '#foryoupage', '#foryourpage', '#fypシ']"
7082451657786789121,"beautiful_europa","",9.798,128,16,"Heaven Is A Place On Earth - Countdown Singers","['#nomorediversity', '#europe', '#europeans', '#europeanbeauty', '#whitepeople', '#whitebeauty', '#whitepeoplethings', '#whitecivilization', '#westerncivilization', '#fyp', '#fypシ', '#foryou', '#foryoupage', '#foryourpage']"
7082089325696961793,"beautiful_europa","",60.162,460,74,"Epic Battle - LX2 Music","['#nomorediversity', '#europe', '#europeans', '#europeanbeauty', '#masculine', '#feminine', '#whitepeople', '#whitebeauty', '#whitepeoplethings', '#fyp', '#fypシ', '#foryou', '#foryoupage', '#foryourpage']"
7082026828398873858,"beautiful_europa","",10.169,146,13,"War Ahead - Ekaterina Shelehova","[]"
7080952851727420673,"beautiful_europa","",60.162,741,149,"Epic Viking Battle Music - Medieval Rites","['#nomorediversity', '#europe', '#europeans', '#europeanbeauty', '#masculine', '#feminine', '#whitepeople', '#whitebeauty', '#whitepeoplethings', '#fyp', '#fypシ', '#foryou', '#foryoupage', '#foryourpage']"
7066299844301753602,"beautiful_europa","",60.162,151,30,"original sound - Tik Toker","['#hatersgonnahate', '#europeforeuropean', '#europeans', '#foryourpage', '#foryou', '#fypシ', '#fyp', '#europeanbeauty', '#trending', '#sports', '#sportswomen', '#football', '#winners']"
7063402945135529217,"beautiful_europa","",156.478,129,16,"Ginseng Strip 2002 - Yung Lean","['#whitepeoplethings', '#whiteculture', '#europeforeuropean', '#europeans', '#proudtobewhite', '#history', '#architecture', '#europeanbeauty', '#fyp', '#trending', '#fypシ', '#foryou']"
7061124994247445761,"beautiful_europa","",58.722,97,7,"Bring Me To Life - Evanescence","['#whitepeoplethings', '#europeans', '#whiteculture', '#hatersgonnahate', '#proudtobewhite', '#europeforeuropean', '#fypシ', '#fyp', '#trending', '#viral', '#fyp']"
7060885180986313986,"beautiful_europa","",60.162,69,2,"Just the Way You Are - Bruno Mars","['#europeforeuropean', '#europeans', '#proudtobewhite', '#whiteculture', '#europeans', '#whitepeoplethings', '#fyp', '#trendingsong', '#foryou', '#foryourpage', '#viral', '#trending']"
7060883150121061634,"beautiful_europa","",17.066,78,1,"Pieces (Solo Piano Version) - Danilo Stankovic","['#proudtobewhite', '#whiteculture', '#europeforeuropean', '#europeans', '#europeforeuropean', '#history', '#trending', '#viral', '#fyp', '#foryourpage', '#foryou', '#trendingsong', '#fyp']"
7060882064798747906,"beautiful_europa","",158.522,87,4,"Luxury fashion (no vocals) - TimTaj","['#whitepeoplethings', '#whiteculture', '#europeforeuropean', '#proudtobewhite', '#trendingsong', '#foryou', '#viral', '#foryourpage', '#trending', '#fyp', '#history', '#viral']"
7060878889148566785,"beautiful_europa","",59.28,44,2,"Ginseng Strip 2002 - Yung Lean","['#proudtobewhite', '#whiteculture', '#europeans', '#europeforeuropean', '#whitepeoplethings', '#fyp', '#trending', '#trendingsong', '#foryou', '#foryourpage', '#viral']"
7060876789949664513,"beautiful_europa","",23.683,77,8,"Before I Knew It - Mason Ramsey","['#whitemen', '#europeforeuropean', '#whitepeoplethings', '#whiteculture', '#architecture', '#viral', '#foryourpage', '#foryou', '#fyp', '#proudtobewhite', '#trendingsong', '#trending']"
7060871642049694977,"beautiful_europa","",27.213,104,6,"Unstoppable - Sia","['#whitepeoplethings', '#whiteculture', '#europeforeuropean', '#europeans', '#europeanbeauty', '#iceskating', '#trending', '#trendingsong', '#fyp', '#foryou', '#foryourpage', '#viral']"
7060868010210348289,"beautiful_europa","",10.169,96,9,"I Won't Give Up - Jason Mraz","['#whiteculture', '#whitepeoplethings', '#history', '#proudtobewhite', '#europeforeuropean', '#europeanbeauty', '#europeans', '#fypシ', '#foryourpage', '#foryou', '#fypp', '#fyp']"
7060866273449692417,"beautiful_europa","",59.999,59,3,"True Colours - Micky","['#europeforeuropean', '#proudtobewhite', '#history', '#whitepeoplethings', '#whiteculture', '#fyp', '#fypp', '#foryou', '#foryourpage', '#fypシ']"
7060865707684252929,"beautiful_europa","",13.606,102,5,"Ginseng Strip 2002 - Yung Lean","['#french', '#whitepeoplethings', '#europeans', '#whiteculture', '#proudtobewhite', '#europeanbeauty', '#europeforeuropean', '#history', '#fypシ', '#foryourpage', '#foryou', '#fypp', '#fyp']"
7060864615017680129,"beautiful_europa","",140.178,64,2,"Unstoppable - Sia","['#europeforeuropean', '#history', '#europeanbeauty', '#whiteculture', '#proudtobewhite', '#europeans', '#whitepeoplethings', '#fyp', '#fypp', '#fypシ゚viral', '#foryou', '#foryourpage']"
7060856257753713921,"beautiful_europa","",100.402,88,5,"Before I Knew It - Mason Ramsey","['#whitepeoplethings', '#europeans', '#europeforeuropean', '#europeans', '#proudtobewhite', '#foryou', '#fypシ゚viral', '#fypp', '#fyp', '#whiteculture', '#europeanbeauty', '#history']"
7060847898275237121,"beautiful_europa","",30.742,67,8,"Before I Knew It - Mason Ramsey","['#europeforeuropean', '#whitepeoplethings', '#whiteculture', '#europeanbeauty', '#proudtobewhite', '#europeans', '#fyp', '#fypp', '#fypシ゚viral', '#foryou', '#fypシ']"
7060846786063256834,"beautiful_europa","",58.351,69,3,"True Colours - Micky","['#europeforeuropean', '#whitepeople', '#europeanbeauty', '#whiteculture', '#history', '#foryourpage', '#fyp', '#foryou', '#whitepeoplethings', '#fypシ゚viral', '#europeans', '#fypp', '#fyp']"
7060845359257488642,"beautiful_europa","",38.382,159,17,"Before I Knew It - Mason Ramsey","['#europeforeuropean', '#europeans', '#whitepeoplethings', '#fypシ゚viral', '#foryou', '#fyp', '#foryourpage', '#history', '#whiteculture', '#europeanbeauty', '#whitepeople', '#sweden']"
7060843133197651201,"beautiful_europa","",15.231,68,3,"Ginseng Strip 2002 - Yung Lean","['#whitepeoplethings', '#whiteculture', '#europeforeuropean', '#europeans', '#proudtobewhite', '#foryoupage', '#fypp', '#history', '#foryourpage', '#fyp', '#fypシ゚viral', '#fypシ', '#foryou']"
7060841139074501890,"beautiful_europa","",30.301,74,3,"Ginseng Strip 2002 - Yung Lean","['#whitepeoplethings', '#europeans', '#whiteculture', '#proudtobewhite', '#fypシ', '#fypシ゚viral', '#fyp', '#foryourpage', '#europeforeuropean', '#europeforeuropean', '#history', '#fypp']"
