v_id,creator,desc,duration,likes,comments,sound,tags
7085848884433423621,"gajda_pilled","For my Lord and Saviour☦️",27.259,385,12,"sonido original - Alex","['#orthodox', '#greekorthodox', '#christian', '#catholic', '#constantinople', '#jesuschrist', '#holyspirit', '#czech', '#jesusisking']"
7081361084304657670,"gajda_pilled","Common Orthodox W☦️",48.668,633,30,"Sahara - Slowed - Hensonn","['#orthodox', '#catholic', '#christianity', '#holyspirit', '#godisbest', '#jesuschrist', '#constantinople', '#rome', '#byzantineempire', '#greek']"
7078042781930786053,"gajda_pilled","✝️👑",19.597,2262,53,"MIDNIGHT SHIFT - Phonk Killer & KSLV Noh","['#baldwiniv', '#leperking', '#jerusalem', '#jesuschrist', '#godisbest', '#holyspirit', '#christianity', '#catholic', '#orthodox', '#whiterace']"
7075838436728491270,"gajda_pilled","",24.612,567,29,"Ferrari - Alice Gas","[]"
7074676560074165510,"gajda_pilled","🐉🐐",13.397,1990,132,"PRINCE OF DARKNESS - SHADXWBXRN & ARCHEZ & KXNVRA","['#brucelee', '#catholic', '#orthodox', '#slav', '#czech', '#nationalism', '#traditionalism', '#jesusisking', '#farright']"
7072784830802447621,"gajda_pilled","Music for my ears.",13.443,734,21,"original sound - Christ pilled✝️","['#hristeboze', '#catholic', '#orthodox', '#slav', '#czech', '#nationalism', '#traditionalism', '#whiterace']"
7064283914994519302,"gajda_pilled","BASED on true story ⚠️Joke⚠️",10.355,2741,52,"Haunted - Laura Les","['#notajoke', '#nationalism', '#traditionalism', '#whiterace', '#farright', '#slav', '#catholic', '#jesusisking']"
7063929598194617606,"gajda_pilled","⚠️Joke⚠️",6.129,1007,66,"original sound - AB7","['#notajoke', '#czech', '#slovakia', '#czechoslovakia', '#nationalism', '#farright', '#slav', '#catholic']"
7062443740786429189,"gajda_pilled","A real smile back then.",39.798,649,18,"původní zvuk - Christ pilled✝️","['#nationalism', '#traditionalism', '#slav', '#czech', '#whiterace', '#farright', '#catholic', '#saveeurope', '#valassko']"
7059132582142708998,"gajda_pilled","As a civilization, we have failed.",33.575,2279,107,"original sound - History","['#industrialrevolutionanditsconsequences', '#czech', '#catholic', '#slav', '#nationalism', '#traditionalism', '#whiterace', '#farright']"
7055711066998787333,"gajda_pilled","Everything has its end even this dark times.",12.399,1051,272,"original sound - le","['#industrialrevolutionanditsconsequences', '#saveeurope', '#czech', '#jesusisking', '#nationalism', '#traditionalism']"
7051973351526370566,"gajda_pilled","We were at the top before the occupiers from east and west came.",60.673,261,28,"Dark Beach - Reprod.$elim - $elim","['#czech', '#traditionalism', '#nationalism', '#slovakia', '#czechoslovakia', '#whiterace', '#slav', '#cath']"
7051275568469265669,"gajda_pilled","And country of course! Repost after ban. ⚠️Educational⚠️",78.134,1985,115,"původní zvuk - Christ pilled✝️","['#nationalism', '#traditionalism', '#farright', '#catholic', '#whiterace', '#slav', '#jesusisking', '#czech']"
7043883955837357318,"gajda_pilled","",23.8,574,23,"původní zvuk - Christ pilled✝️","['#czech', '#🇨🇿', '#nationalism', '#traditionalism', '#jesusisking', '#catholic', '#farright']"
7042018622675356934,"gajda_pilled","We built the world 😈",12.863,425,23,"původní zvuk - Christ pilled✝️","['#nationalism', '#traditionalism', '#catholic', '#jesusisking', '#🇨🇿', '#czech', '#slovakia', '#poland']"
7038638551478570245,"gajda_pilled","Let the Slavic sun rise again!!!",15.951,3033,258,"původní zvuk - Christ pilled✝️","['#czech', '#🇨🇿🇨🇿🇨🇿', '#slav', '#nationalist', '#catholic', '#traditionalist', '#jesusisking']"
7035735326345661701,"gajda_pilled","No mercy to enemies, Deus Vult! ✝️",16.183,755,22,"original sound - Benimaru","['#templar', '#christian', '#knight', '#jesusisking', '#godisgreat', '#tradcath', '#🇨🇿', '#nationalism', '#traditionalism', '#jerusalem']"
7034628387620621574,"gajda_pilled","Deus Vult! ✝️",26.679,353,11,"původní zvuk - Christ pilled✝️","['#cruasader', '#templar', '#deusvult', '#nationalism', '#traditionalism', '#🇨🇿', '#czecharmy', '#tradcath', '#jesus']"
7033121634731052294,"gajda_pilled","Odpovědět",36.06,212,11,"původní zvuk - Christ pilled✝️","['@growtopiacsngod', '#jesusisking', '#czecharmy', '#🇨🇿', '#nationalism', '#traditionalism', '#orthodox', '#isW', '#czech']"
7029430593226099974,"gajda_pilled","I hope I'll be there one day.",37.197,469,7,"Another love by Tom Odell - .","['#veteransday', '#warveteran', '#czech', '#🇨🇿', '#czecharmy', '#jesusisking']"
7027571302365990150,"gajda_pilled","About being sigma. ⚠️Fake gun⚠️",29.303,2504,44,"crimmees - ⭑࣪ ִֶָ 𖥔 ͙ࣳ ⸰ֺ⭑࣪˖ ˖ ࣪ ִֶָ","['#americanpsycho', '#patrickbateman', '#🇨🇿', '#jesusislord', '#viral', '#fyp', '#sigmamale']"
7027165208800005382,"gajda_pilled","Patrick is chad.",10.1,2674,253,"Use this sound if messi is better than ronaldo - .","['#tradcath', '#nationalism', '#traditionalism', '#patrickbateman', '#americanpsycho', '#czech', '#🇨🇿', '#jesusisking']"
7025322923678289157,"gajda_pilled","Fulton Sheen, may his soul rest in peace.",60.139,780,16,"Blue monday slowed - Chantrelle","['#catholic', '#orthodox', '#slav', '#🇨🇿', '#czech', '#jesusisking', '#tradcath', '#nationalism', '#traditionalism']"
7024566801174449414,"gajda_pilled","⚠️Education⚠️Game⚠️ Bf5 The Last Tiger, my fav",58.746,75,1,"Chamber Of Reflection - Mac DeMarco","['#nationalism', '#traditionalism', '#🇨🇿', '#czecharmy', '#jesusisking', '#sad', '#slav', '#catholic', '#orthodox']"
7021610427624819974,"gajda_pilled","",43.42,481,31,"CITY LIGHT$ - Cowbell Cult & $werve","['#nationalism', '#traditionalism', '#fascist', '#slav', '#tradcath', '#czech', '#🇨🇿', '#czecharmy', '#jesusisking', '#rejectmodernityembracetradition']"
7020876745217723653,"gajda_pilled","Byli jsme a budem!",22.035,344,7,"původní zvuk - Christ pilled✝️","['#czech', '#czecharmy', '#🇨🇿', '#tradcath', '#nationalism', '#traditionalism', '#rejectmodernityembracetradition']"
7020096757145046278,"gajda_pilled","",17.878,5762,366,"original sound - <3","['#czech', '#balkan', '#catholic', '#orthodox', '#nationalism', '#jesusisking', '#traditionalism', '#rejectmodernityembracetradition', '#sad']"
7018595651751660805,"gajda_pilled","Baldwin IV of Jerusalem✝️💪🏼❤️",13.443,2948,259,"original sound - SpecialForcesContent","['#based', '#catholic', '#orthodox', '#nationalism', '#traditionalism', '#czech', '#rejectmodernityembracetradition', '#jesusisking', '#tradcath']"
7017166133392362758,"gajda_pilled","Agree=🤴👸",81.524,12900,717,"původní zvuk - Christ pilled✝️","['#based', '#catholic', '#orthodox', '#czech', '#nationalism', '#traditionalism', '#oswaldmosley', '#multicultural', '#rejectmodernityembracetradition']"
7016032264979074310,"gajda_pilled","601.skss❤️❤️",16.021,222,1,"původní zvuk - Christ pilled✝️","['#based', '#catholic', '#czecharmy', '#nationalism', '#traditionalism', '#🇨🇿', '#orthodox', '#rejectmodernity', '#embracetradition']"
7015307557862493446,"gajda_pilled","",21.756,768,47,"Nightwing - mxnarch","['#nationalism', '#traditionalism', '#czech', '#oswaldmosley', '#rejectmodernity', '#embracetradition', '#catholic', '#orthodox', '#based']"
7014225087171726597,"gajda_pilled","",34.806,2572,64,"Another love by Tom Odell - .","['#czech', '#🇨🇿', '#nationalism', '#traditionalism', '#catholic', '#orthodox', '#rejectmodernity', '#embracetradition', '#czecharmy']"
7013453342173089030,"gajda_pilled","Don't take it down again Tik Tok❤️",39.868,763,30,"Fahrradsattel - Pisse","['#nationalism', '#traditionalism', '#catholic', '#orthodox', '#rejectmodernity', '#embracetradition', '#czech', '#🇨🇿', '#oswaldmosley']"
7012300449588022534,"gajda_pilled","",29.767,175,3,"blue monday slowed - film/tv edits🎬🕷🏴","['#catholic', '#orthodox', '#nationalism', '#traditionalism', '#based', '#communismworks', '#megacap', '#anticommie', '#communism', '#cheguavera', '#marxim', '#smokingthatpack']"
7011900443341229318,"gajda_pilled","",41.586,2440,63,"young - $werve","['#based', '#sigma', '#czech', '#traditionalism', '#nationalism', '#rejectmodernity', '#embracetradition', '#catholic', '#orthodox']"
7011605260699438342,"gajda_pilled","",40.054,415,18,"Suffer With Me - líue","['#christian', '#catholic', '#orthodox', '#balkan', '#traditionalism', '#nationalism', '#rejectmodernity', '#embracetradition', '#proudczech', '#czech', '#🇨🇿', '#jesus']"
7010825056465030406,"gajda_pilled","",30.069,677,43,"Silence - 5admin","['#czech', '#traditionalist', '#nationalism', '#🇨🇿', '#rejectmodernity', '#embracetradition', '#proudczech', '#based', '#jesus']"
7010409772168072454,"gajda_pilled","Redcoats🥵",19.179,154,7,"původní zvuk - Christ pilled✝️","['#rejectmodernity', '#embracetradition', '#nationalism', '#traditionalism', '#czech', '#🇨🇿', '#british']"
7009247090509450501,"gajda_pilled","",20.131,423,6,"Eyedress Jealous","['#traditionalism', '#nationalism', '#czech', '#proudczech', '#christian', '#rejectmodernity', '#embracetradition']"
7008966309010558213,"gajda_pilled","My first ban is over, it's definitely not the last one😏😂",10.518,105,2,"original sound - SpecialForcesContent","['#czech', '#embracetradition', '#rejectmodernity', '#traditionalism', '#nationalism', '#communism']"
7007492317359656197,"gajda_pilled","",69.682,171,12,"původní zvuk - Christ pilled✝️","['#rejectmodernity', '#embracetradition', '#based', '#czech', '#traditionalist', '#nationalism', '#anticommie', '#christian', '#jesus']"
7006984138687368454,"gajda_pilled","Do you remember this masterpiece? 🤤",17.252,812,32,"původní zvuk - Christ pilled✝️","['#serbia', '#czech', '#nationalism', '#traditionalist', '#rejectmodernity', '#embracetradition', '#based']"
7006427939399077126,"gajda_pilled","I was supposed to be born 150 years ago.😭😂",15.347,2094,110,"Feel Like God - gazzzy & framed","['#czech', '#nationalism', '#christian', '#🇨🇿', '#traditionalism', '#rejectmodernity', '#embracetradition', '#anticommie']"
