v_id,creator,desc,duration,likes,comments,sound,tags
7082857775159708933,"peblackshirt","tremenda escena",238.84,121,5,"The Batman - Michael Giacchino","['#batman', '#batmanvssuperman', '#batfleck', '#dccomics', '#gothamcity', '#benaffleck', '#tdkr', '#viral', '#foryou']"
7078104617766096133,"peblackshirt","The Dark Knight Returns 🦇",61.207,11,1,"son original - Blackshirt","['#batman', '#tdkr', '#thedarkknight', '#gotham', '#ciudadgotica', '#dccomics', '#fyp', '#viral']"
7070531978679946501,"peblackshirt","Insane in the brain 🤪🧠",23.382,28,0,"son original - Blackshirt","['#fightclub', '#edwardnorton', '#thenarrator', '#movieedit', '#based', '#viral', '#foryou']"
7067186688304418054,"peblackshirt","Bonapartist vibes 😎🇲🇫👑🦅",12.608,35,2,"son original - Blackshirt","['#french', '#france', '#conservatism', '#nationalism', '#caesarism', '#bonapartism', '#monarchy', '#based', '#viral', '#fypシ']"
7064587847906462981,"peblackshirt","EDUCATIONAL PURPOSES, NO POLITICAL!",31.834,158,8,"son original - Blackshirt","['#italy', '#italian', '#nationalism', '#conservatism', '#corporatism', '#catholicism', '#based', '#viral', '#fypシ', '#memes']"
7062741037369904390,"peblackshirt","As hard as you can 👊🏻",13.885,18,0,"son original - Blackshirt","['#fightclub', '#tylerdurden', '#movieedits', '#bradpitt', '#sigmarule', '#based', '#viral', '#foryou']"
7061320048379448581,"peblackshirt","We are God's unwanted children",31.3,14,0,"Silence - Silence","['#fightclubedit', '#tylerdurden', '#fightclub', '#movieedits', '#bradpitt', '#based', '#viral', '#foryou']"
7060861923847326981,"peblackshirt","Tyler posting 🖤😎🤑💪🏻",10.936,18,0,"son original - Blackshirt","['#fightclub', '#tylerdurden', '#based', '#viral', '#fightclubedit', '#sigmarule', '#bradpitt', '#movieedits']"
7055307500131749126,"peblackshirt","",11.447,9848,772,"son original - Blackshirt","['#iraq', '#iraqi', '#baathism', '#socialism', '#nationalism', '#panarabism', '#republicanism', '#based', '#chad', '#viral']"
7053966983045467398,"peblackshirt","First video of the year 💪🏻😎🤑",23.683,74,7,"son original - Blackshirt","['#russia', '#russian', '#nationalism', '#conservatism', '#orthodoxy', '#putinism', '#authright', '#based', '#chad', '#viral']"
