v_id,creator,desc,duration,likes,comments,sound,tags
7054777258795339055,"flaniforfreedom","Civil rights attorney is suing the state of NY! The mandates are illegal and she is taking action! Power to the People!",180.184,184800,15200,"original sound - Flaniforfreedom","['#medicalfreedom', '#wethepeolple', '#constitution', '#freedomfighters', '#fyp']"
7015636862190488837,"conservative_jas","",21.43,173900,14900,"original sound - Savannah Schillinger","['#maga🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸', '#republicans', '#wethepeople', '#trump2020', '#trump2024', '#patriot', '#medicalfreedom', '#trump2020🇺🇸', '#merica🇺🇸🇺🇸', '#merica🇺🇸', '#trumpsupporter', '#conservatives', '#Pureblood', '#conservativetiktok', '#conservativewomen']"
6991850489969134854,"nursewomanmother","Freedom Rally in Charlotte, NC!",20.176,166500,7472,"We're Not Gonna Take It - Twisted Sister","['#HealthcareWorkers', '#vaccinemandates', '#medicalfreedom', '#healthcareheroes', '#charlottenc']"
7004596144173042949,"smugnurse_","Please enjoy the montage.",52.987,135700,4789,"antivaxx nurse - Twotreehill","['#vaccinemandate', '#medicalfreedom', '#montage', '#covid19', '#getvaccinated', '#fypシ', '#fyp', '#CinderellaMovie']"
7013400077750258950,"karlie_foster7","",15.207,82200,5699,"Not Ready to Make Nice - The Chicks","['#medicalfreedom', '#vaccine', '#hypocrisy', '#supportourtroops', '#thisisamerica']"
7021369659962215686,"mamafeightminimes","NP Refuses to treat minor.",81.431,151200,22700,"original sound - Cassie Perkins","['#Redimed', '#covid19', '#myfinALLYmoment', '#momsoftiktok', '#TargetHalloween', '#fypage', '#patriots', '#FJB', '#medicalfreedom', '#freedom']"
7002340312685366533,"jenn.connelly","Don’t mess with our kids...",51.848,72600,6692,"original sound - Jennifer Connelly","['#medicalfreedom', '#UltaBeautyatTarget', '#SmartfoodClub', '#patriot', '#conservativetiktok', '#freedomfighters']"
7009248703416519942,"perfectly.patriotic.tn","with",22.012,63200,3228,"A-O-K - Tai Verdes","['#duet', '@uptin', '#willnotcomply', '#fypシ', '#medicalfreedom', '#pureblood']"
7043933870378700079,"conservative_jas","",15.183,63000,3472,"nhạc nền - AK乂Duty","['#maga🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸', '#americaproud🇺🇲🇺🇲🇺🇲', '#merica🇺🇸🇺🇸', '#trump2024🇺🇸', '#conservativetiktok', '#patriot', '#letsgobrandon', '#conservativewomen', '#wethepeople', '#womenfortrump', '#NYsucks', '#medicalfreedom', '#merica🇺🇸', '#republicansoftiktok']"
7055073481674870062,"bluecollar_35","",25.749,61500,4697,"We Will Rock You - why mona","['#carhartt', '#medicalfreedom', '#letsgobrandon', '#covid19', '#vaccine', '#mandate', '#carharttofficial', '#stopmandates', '#freedom', '#america', '#bluecollar', '#bluecollarboys']"
7030948756069567749,"robastorino","We don’t co-parent with the government. It should be your choice.",12.699,59200,960,"original sound - Golden Stables","['#nomandates', '#newyork', '#robastorino', '#medicalfreedom', '#governor', '#ny']"
6994739314747821317,"donaldsonelite","",52.544,54500,4099,"original sound - John Venturino Jr.","['#truckersoftiktok', '#FYP', '#medicalfreedom']"
7001860237716294917,"bruknows0","#Wewillnotcomply",15.3,52200,3747,"original sound - Brunoski","['#nyc', '#newyorkcity', '#usa', '#freedomrally', '#mybodymychoice', '#protest', '#fyp', '#medicalfreedom', '#healthcareworker', '#freedom', '#standup', '#deblasio', '#NY']"
7002377471395974406,"futures33","",14.812,51800,2089,"original sound - Futures33","['#vaccinepassport', '#foryou', '#medicalfreedom', '#foryoupage', '#trending', '#fyp', '#cancelgavinnewscum', '#recallgavinnewsom', '#covid19']"
7048014120813333807,"corygarrettphotography","",54.636,50700,2439,"original sound - CoryGarrettPhotography","['#repost', '#reposting', '#censored', '#censorship', '#medicalfreedom', '#lgb', '#fjb', '#lgbfjb', '#letsgobrandon', '#conservativetiktok', '#banned', '#majorpayne']"
7059554945141411118,"jennieofalltrades","Beat the Algorithm! Strength in Numbers!💪",26.586,44700,2235,"original sound - JennOfAllTrades","['#freedomconvoy2022', '#freedom', '#standupforfreedom🇺🇸🇺🇸', '#LGB', '#unitedwestand', '#medicalfreedom']"
7025743432392002821,"robastorino","Rob Astorino stands with New Yorkers!🗽🇺🇸",20.153,44400,1266,"We're Not Gonna Take It - Twisted Sister","['#nomandates', '#medicalfreedom', '#nypd', '#fdny', '#robastorino', '#nygovernor', '#rally']"
7046428004859448622,"crazymotherrunner","with",59.185,43600,1299,"Ice Box - Omarion","['#duet', '@bookersquared', '#MyPlayoffPicks', '#medicalfreedom']"
