v_id,creator,desc,duration,likes,comments,sound,tags
6915482897445047557,"thatgirl.oonamay","with",59.232,3000000,46400,"original sound - that girl.Oonamay","['#stitch', '@kristamackenziee', '#medical', '#abuseofpower', '#YouShouldKnow', '#mybodymychoice']"
6883198208965610754,"the.sisofficial","This can save lives. Please share",8.73,1900000,12500,"Six Forty Seven - Instupendo","['#feminism', '#genderequality', '#endviolence', '#mybodymychoice', '#feminisme', '#womensrights']"
7047567060032834862,"theclinicdefender","“This is what we practice, people!”",28.372,1800000,14700,"Break My Stride - Chateau Pop","['@preachngeek', '#clinicdefenders', '#abortionrights', '#healthcare', '#mybodymychoice', '#prochoice', '#proabortion', '#fyp']"
7004956639262543109,"thatgirlv5280","",14.162,1500000,17200,"I get krazy - The real Huey Freeman✨","['#mybodymychoice', '#fthepatriarchy', '#ftexas', '#reproductiverights', '#womensrights', '#lifeisgooddance', '#DenimYourWay', '#katespadenyonthemove', '#oops']"
6962934469401611526,"trollonpatrol","Liberals and the COVID war...life lessons",121.81,989400,30200,"original sound - Trollonpatrol","['#covid19', '#covid', '#covidvaccine', '#mybodymychoice', '#viral', '#foryou', '#foryourpage', '#educateyourself', '#4thamendment']"
6929912733034876165,"won5der","And we’re friends until this day",46.136,887200,7132,"original sound - Pedro","['#mybodymychoice', '#storytime', '#gay']"
7003725173740391686,"officialjennayy","story of my life",15.183,853300,26500,"Mirror - ...","['#greenscreen', '#foryoupage', '#mybodymychoice']"
7003100729816780037,"drjenniferlincoln","tells you 5 things you need to know about the Texas",54.286,610100,4588,"original sound - Dr. Jennifer Lincoln","['#OBGYN', '#abortionban', '#learnontiktok', '#tiktokpartner', '#healthclass', '#mybodymychoice', '#mybody']"
7074204595454479622,"katie_mbmr","no lies were told",59.024,599700,3991,"original sound - Caylee Cresta","['#feministsmallbusiness', '#feministsoftiktok', '#feminismoftiktok', '#smashthepatriarchy', '#patriarchyproblems', '#patriarchyiscancelled', '#mybodymyrules', '#mybodymychoice', '#metoo', '#womensupportingwomen', '#feminismtiktok', '#feminist', '#feministtiktok']"
6973078064087584006,"thedeathscorts","STORYTIME about the assault video for the new friends.",180.161,553800,9777,"original sound - Shelley","['#prochoice', '#clinicescort', '#NightDoneRight', '#WhatWouldPopTartsDo', '#mybodymychoice', '#Assault', '#police']"
