v_id,creator,desc,duration,likes,comments,sound,tags
6964151144553663750,"blue_eyed_patriot89","SORRY AIN'T GOT ONE!",7.244,139700,1530,"original sound - Brittanie","['#novaccineforme', '#nojab', '#nomasks', '#trump2020', '#trumptrain', '#patriot', '#freedom']"
7013172680690060549,"fu.idc.genuinely","No quarter will be given & we are not backing down. My family didn’t fight for this countries freedom for nothing.",17.97,132600,1377,"original sound - Josh Landry","['#nojab', '#independent', '#FJB']"
7057336443814907182,"filthy.pigeon","",85.795,94500,3696,"We The People - Kid Rock","['#wethepeople', '#constitution', '#covid', '#fauci', '#letsgobrandon', '#vaccine', '#nojab', '#elfitup', '#kidrock', '#patriots', '#liberals', '#conservatives', '#viral', '#trending']"
6998209041096854790,"adbriscoe912","Over it😤",15.183,91200,2297,"original sound - 💙🇨🇦LOBO🏳️‍🌈💙","['#JifRapChallenge', '#WelcomeBack', '#jab', '#nojab', '#doyou', '#imadome']"
7034297107771116847,"timbrown320","BTW, OSHA just suspended vax mandate for being unconstitutional 💁🏻‍♂️",11.445,66200,2584,"original sound - William","['#prochoice', '#fauci', '#patriots', '#fjb', '#nojab', '#fauchiouchie', '#fyp', '@boomerjustin']"
7044221398742748462,"thatmodernnorssmn","",11.793,62400,1482,"original sound - Jason B","['#WhenRiftanSays', '#ThanksandGiving', '#MakeABunchHappen', '#tmn', '#fyp', '#foryoupage', '#bringintheviking', '#nojab', '#nomask', '#live']"
6985416343763913989,"gablackneck","",58.582,31200,1593,"original sound - GABlackNeck","['#merica', '#nojab', '#foryourpagе', '#viral', '#fypシ', '#america', '#news', '#wakeup', '#Republican', '#Conservative']"
7010939396165799173,"hillbillyatheart","TikTok took this down because they don’t want people to hear the truth.",54.1,29200,1932,"original sound - hillbillyatheart","['#fyp', '#foryourpage', '#navyseal', '#nojab', '#thetruthhurts', '#tiktok', '#tuckercarlson']"
6998282764126555397,"timothywadejenkin","How many average people are out there feeling the impending storm?",180.208,26700,2664,"original sound - Timothy Wade Jenkins","['#freedom', '#averagejoe', '#bluecollar', '#patriot', '#foryoupage', '#nojab', '#nomask', '#bewell']"
7005317592500030726,"thehorseylady","What is wrong this those world!!!",32.6,23800,2657,"original sound - AJ@herself","['#segregation', '#standtogether', '#nursesoftiktok', '#healthcareworker', '#nomandate', '#mybodymychoice', '#hipacrits', '#nojab', '#wakeup']"
7016015204244901126,"adbriscoe912","Does this answer yalls question💁🏼‍♀️🥰",8.566,23500,886,"Everybody (Backstreet's Back) (Extended Version) - Backstreet Boys","['#nojab', '#trump2024', '#fyp']"
7005037679498857733,"universoulconvo","",180.163,23100,668,"original sound - Shiiboss pronounced (She-boss)","['#truth', '#spiritualtok', '#awakening', '#theprogram', '#zombie', '#nojab', '#energy', '#spiritualbaddie', '#energy', '#spirituality', '#indigenoustiktok', '#pinealgland', '#zombie', '#love']"
7029885651130518789,"notelelward","Reply to",15.207,19500,1908,"original sound - notelelward","['@mentalminds', '#fyp', '#thatsahouse', '#newcar', '#flintmi', '#wheredoisignup', '#tellmemore', '#yesplease', '#unvaccinated', '#nojab', '#wtf', '#😳']"
7006376241729129733,"youchoosekindness","with",53.009,19000,1420,"Mama Said - Lukas Graham","['#stitch', '@exvangelicaldaddy', '#kindness', '#politics', '#jab', '#nojab', '#vaxxed', '#getvaccinated', '#lawyersoftiktok', '#politics', '#law']"
7044787603840978222,"beverlynewman72","with",42.12,18200,2118,"original sound - Beverly Newman","['#stitch', '@elizavancort', '#patriot', '#republican', '#genx', '#covid19', '#vaccinated', '#unvaccinated', '#nojab', '#democrat', '#fyupage']"
7033873290351627567,"whitplusfive","",15.764,18000,1908,"original sound - Whitney","['#covid', '#insurance', '#nojab', '#conservative', '#what', '#freedom', '#free']"
7047653259611278639,"timbrown320","Am I wrong!? 😆",11.097,16700,1059,"original sound - Dab Marino","['#rockstar', '#jokes', '#fauchiouchie', '#vax', '#vaccinated', '#nojab', '#nojabforme', '#mychoice', '#jab', '#vaccine', '#letsgobrandon', '#biden', '#fyp', '#foryou']"
7005007642452069638,"concernedcanadian85","",76.577,16600,853,"original sound - Laura","['#canada', '#nojab', '#istandwithyou', '#politics', '#election']"
7007297974392999174,"thedirtylunchbox","",53.171,16300,533,"original sound - Jay Dub","['#buckfiden', '#stopthemandate', '#nojab', '#liberty', '#freedom', '#dictator', '#authoritarian', '#wakeupamerica', '#patriots', '#riseup', '#biden', '#trump', '#fyp', '#fypシ', '#viral']"
7051188883182144773,"just_arrjay_2","This is what they want the “new normal” to look like?",10.168,13400,462,"原聲 - Xiong Lin","['#boostofhope', '#fyp', '#nojab', '#dumbanddumber']"
6997141952684690694,"flatbedderedin","",10.169,13200,655,"How You Like That - BLACKPINK","['#arizonacheck', '#Ducey', '#freedom', '#choices', '#nojab', '#covid19', '#arizona', '#CODAduets', '#StyleSnap', '#PerfectMarcJacobs', '#fypシ', '#foryoupage', '#mybodymychoice', '#trucker']"
7009124747267067142,"bigredswife","",44.882,12800,2074,"My Best Friend - Tim McGraw","['#fyp', '#ZFlipClackdown', '#vovid19', '#covid', '#monoclonalantibodies', '#help', '#sad', '#oregon', '#love', '#nojab', '#choice']"
7044351837708979503,"timbrown320","One of my favorite songs 🎶",15.183,11400,677,"original sound - Chloe Andrews","['#nojab', '#nojabforme', '#pureblood', '#conservative', '#vaccine', '#unvaccinated', '#fauciouchi', '#vaccinesideeffect', '#vaccinemandate', '#fyp']"
7006135334660525318,"lioness7812","",10.169,10200,804,"F Biden - Burden","['#nojab', '#unvaccinated', '#iwillnotcomply', '#freedom', '#mybody', '#mychoice', '#tyrants', '#chinajoe', '#lies', '#wakeup']"
6987955795769953542,"drewzki84","My guy D-HOP!!",11.725,10100,635,"God We Need You Now - Struggle Jennings & Caitlynne Curtis","['#greenscreen', '#vaccine', '#foryourpage', '#fypシ', '#deandrehopkins', '#NFL', '#nojab', '#trump', '#biden', '#bioweapon']"
6972986618345032965,"aronparkerlive","Nurse walking around trying to get people to take the cov*d jab 💉NO ONE WANTS IT! ☠️ #",41.702,9781,3047,"original sound - Aron Parker","['nojab', 'novax']"
7047227423821139246,"robbieboy21","You do you boo and I’ll do me ✌🏻",6.871,9008,0,"original sound - Julian Hagins","['#dadsoftiktok', '#michigan', '#fyp', '#unvaccinated', '#nojab', '#lionsnotsheep', '#naturalimmunity']"
7019142984771947781,"thenaturalmamabeauty","No Californians were harmed during the making of this video 🤣",10.261,8949,1083,"original sound - Jada","['#freedom', '#2a', '#fyp', '#idaho', '#patriot', '#homeschool', '#married', '#lionsnotsheep', '#nojab', '#cali', '#208']"
7033401540354460974,"craiggriffinjr","",98.473,7804,380,"original sound - Craig Griffin Jr.","['#vaccine', '#patriots', '#nojab', '#fuckthatvaxx', '#conservative', '#fyp']"
7029456703343119621,"irenebritusa","Going to great lengths to deny effective treatments. It’s scary. This story should encourage us to stand for what’s right. Don’t give up!",176.423,7340,609,"original sound - Irene","['#fyp', '#conservative', '#choice', '#nojab']"
7054767784722517294,"teachingdisciples","",45.696,7328,0,"original sound - Jamison Carson448","['#Jesus', '#God', '#bible', '#Holyspirit', '#truth', '#woke', '#faith', '#remnant', '#christian', '#christiantiktok', '#church', '#preach', '#repent', '#nojab', '#novax', '#preaching', '#preach', '#motb']"
7009596118489189637,"jennifermccart2","helping others!",43.002,7093,1021,"Uprising - Muse","['#viral', '#beginner', '#50andoverclub', '#affiliatemarketing', '#workfromhome', '#ZFlipClackdown', '#pandemic', '#nojab', '#mandates']"
7016341949586132229,"patriotmamafromthesouth","“Respectfully…she says” I’m so sick of all of this.",105.207,7004,1362,"original sound - Brittany","['#covid', '#nurse', '#nursesoftiktok', '#mybodymychoice', '#nojab', '#vaccine', '#wrong', '#foryou']"
7079590186195209518,"patriotnurse247","Oh please do!!!",17.902,6927,409,"original sound - That One Girl","['#maga', '#sleepyjoe', '#covidfarce', '#nojab', '#lionsnotsheep', '#trump2024', '#patriots']"
7001226174529621253,"missalinamina","Lord give us strength during this challenging time.",13.976,6835,479,"original sound - Jesus lovers","['#antivaccine', '#covid', '#nojab', '#antijab', '#hardchoices', '#satire']"
7018954536555498758,"lastchancemelody","",27.537,6727,533,"Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey","['#unbanevolutionofmelody', '#insleeisnonessential', '#covidisadistraction', '#nojab', '#joeblowsgoats']"
7013939176496254214,"krazykat822","",7.453,6401,481,"original sound - Madifing Conde","['#jokes', '#nojab', '#okkaren']"
7067560740105866542,"mmamomof2","",10.168,6325,341,"original sound - Danielle","['#stopthemaskmandate', '#ourchildrenourchoice', '#mentalhealthawareness', '#impeachbidenadministration', '#nojab', '#pureblood', '#pray']"
7022041933404966150,"it_is_me_greg","questions for",30.369,5942,777,"original sound - Greg","['#Inverted', '#liberals', '#covid', '#patients', '#denytteatment', '#vaxvsunvax', '#nojab', '#sick', '#icu', '#fjb', '#MakeADogsDay', '#fyp', '#questions', '#quiz']"
7013575905779977474,"kiki_la_coco","",13.978,5845,346,"original sound - Brett 🇺🇸","['#unvaxxed', '#youbelongtogod', '#nojab', '#pureblood']"
7059843306381069614,"thatmodernnorssmn2","with",23.798,5795,334,"Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey","['#duet', '@thealexg_7', '#fyp', '#foryoupage', '#patriots', '#themoreyouknow', '#fakenews', '#idiot', '#fjb', '#nojab', '#conservative']"
6992549635504098565,"kp_8485","",23.591,5731,441,"How strong I am - Jazz Thornton","['#greenscreenvideo', '#donttouchmycubs', '#nojab', '#letthembekids', '#novax', '#theirbodymychoice']"
7026179802369396015,"sugarkoansays","",8.707,5674,351,"i talk sht about you on the internet - MADSN","['#conservative', '#Patriot', '#nojab', '#noshot', '#mandatesarentlaws', '#republican', '#trump2020', '#trump2024', '#phuckdavackseen', '#naturalparenting']"
7052504558534216965,"fu.idc.genuinely","Based on true events. If there’s a God, I’m one of his favorites 😂",11.933,5123,197,"Extermination - Upon A Burning Body","['#liberal', '#republican', '#saveyourpity', '#nojab']"
