v_id,creator,desc,duration,likes,comments,sound,tags
6925919445437222150,"brianparsleyspeaker","The mask everyone loves.",42.003,7300000,34700,"RAMPAGE - GRAVEDGR","['#maskoff', '#mask', '#newsom', '#covidmask', '#humor', '#maskless', '#nomasknoservice', '#nomask']"
6941484631917120773,"brianparsleyspeaker","Part 1 fishing for fun",30.091,7000000,15900,"Myself - Bazzi","['#maskoff', '#mask', '#covidmask', '#humor', '#nomasknoservice', '#nomask', '#fyp']"
6946333097432583430,"brianparsleyspeaker","Vape Shop Drama",35.78,814700,2166,"Stuck In The Middle - Tai Verdes","['#nomask', '#maskoff', '#covidmask', '#nomasknoservice', '#prank', '#fyp', '#sourpatchprankfund']"
6927802221690162438,"brianparsleyspeaker","Another episode",30.416,726800,4351,"Rasputin (Single Version) - Boney M.","['#fyp', '#mask', '#maskoff', '#maskup', '#viral', '#abc', '#covid19', '#ItWasntMe', '#nomasknoservice', '#funnyvideos', '#humor', '#nomask', '#jimmykimmellive', '#funny']"
7048008572986215726,"brianparsleyspeaker","Are people still mask Crazy?",31.53,635500,8269,"Da Ya Think I'm Sexy? - Rod Stewart","['#mask', '#maskless', '#maskoff', '#maskup', '#nomask', '#nomasknoservice', '#nyc', '@kusteez']"
7020219854409960710,"magakurt","Season almost in boys",9.03,632600,2806,"original sound - Brett 🇺🇸","['#deerseason', '#conservative', '#republican', '#hunting', '#nomask', '#freedom', '#america', '#magaforever', '#americafirst', '#MakeItCinematic']"
6945899653787389190,"realfranciscolopez","I can’t wait to get some reaction videos!",41.538,609500,720,"Send Me on My Way - Vibe Street","['#badmasker', '#mask', '#nomask', '#spectacles']"
6926255717410376965,"mikeslamelife","You are most welcome",34.897,481300,1300,"original sound - Michael Hager","['#foryou', '#fyp', '#fypdoesntwork', '#nomask', '#maskoff', '#ihatecovid', '#sitandspit', '#foeyourpleasure', '#fuckcovid']"
6962943219957042437,"mommahorsetales","I’m just really conflicted…",35.849,444700,7307,"original sound - Nicole","['#funnymom', '#cdc', '#covidvaccine', '#vaccinated', '#mask', '#nomask']"
6868350945315556613,"lisapedace","",24.358,406400,424,"original sound - Lisa Pedace","['#Karen', '#nomask', '#myorder', '#foryoupage', '#humor', '#fyp', '#metime', '#karens']"
6844647240774995206,"keeping.up.with.kris","Karen at Costco",53.382,390000,11500,"original sound - Kristin W","['#karen', '#costco', '#YouGotIt', '#nomasknoservice', '#nomask', '#dumptrump', '#covid19']"
6847320963336473862,"lisapedace","",21.781,350000,1090,"original sound - Lisa Pedace","['#Karen', '#karens', '#nomask', '#covid19masks', '#coronavirusmasks', '#covid', '#covid2020']"
6863235947400613126,"lisapedace","",17.485,313000,372,"original sound - Lisa Pedace","['#Karen', '#nomask', '#snapshot', '#foryourpage', '#fyp', '#covid19masks', '#karens']"
6964888972166204678,"yoitsvictorr","This isn’t just me right?",15.23,309100,1215,"this song is brooklyn blood pop omg - anelyse","['#mask', '#nomask', '#wierd', '#safety', '#TWDSurvivalChallenge', '#MaxPlumpJump', '#viral', '#foryou']"
