v_id,creator,desc,duration,likes,comments,sound,tags
7078944031492951298,"tanisha__162","😶‍🌫️",12.513,5283,40,"middle of the night - </3","['#fyp', '#foryou', '#viral', '#6inch', '#35s', '#6inch35s', '#modified', '#nissan', '#navara', '#np300', '#4x4', '#4x4girls', '#livin', '#defect', '#4wd', '#poke', '#trending', '#nopoke', '#rolling', '#blonde']"
7073176870333746478,"jynavesia","",7.591,3996,279,"original sound - Tonya Wade","['#nopoke', '#stillalive', '#mychoice', '#yourchoice', '#idontjudge', '#doyou', '#pandimic', '#LinkBudsNeverOff', '#lgbfjb', '#corruption', '#trump2024', '#imgood', '#pureblood', '#freedom', '#choices', '#mybody', '#loveit', '#🇺🇸', '#lgb']"
7080426139654573313,"tanisha__162","Can’t listen to minds smaller then yours…",6.151,2582,25,"original sound - sounds","['#fyp', '#foryou', '#viral', '#6inch', '#35s', '#6inch35s', '#modified', '#nissan', '#navara', '#np300', '#4x4', '#4x4girls', '#livin', '#defect', '#4wd', '#poke', '#trending', '#nopoke']"
7054668343319563566,"jennacagleanderson","",7.614,2272,246,"full agenda - luxxwolf","['#nopoke', '#novaccineforme', '#novac', '#crunchymom', '#christian', '#bedsharing', '#cosleeping', '#sahm', '#donttrustthegovernment', '#donttrustdoctors', '#conspiracytiktok']"
7079686606109641986,"tanisha__162","😮‍💨",10.981,1964,32,"original sound - Niana Guerrero","['#fyp', '#foryou', '#viral', '#6inch', '#35s', '#6inch35s', '#modified', '#nissan', '#navara', '#np300', '#4x4', '#4x4girls', '#livin', '#defect', '#4wd', '#poke', '#trending', '#nopoke', '#rolling', '#blonde']"
7055303585164168494,"jynavesia","",15.183,1863,105,"original sound - ✨Hot Gina Official✨","['#hypocrisy', '#hypocrite', '#nopoke', '#wtf', '#whatshappening', '#standup', '#wethepeople', '#lgbfjb', '#makeamericagreatagain', '#sadworld', '#wakeup', '#cantunsee', '#fyp']"
7006447072048073990,"kyhayes0","Mandatory v@cc!nes my ass. Open up your eyes yall.",17.947,1803,36,"I Mean It - Grammz","['#daddydesantis', '#nopoke', '#nomask']"
7015739339841850629,"hells.mountain.angel87","",37.639,1647,22,"original sound - Charles white","['#pfizer', '#nopoke', '#NissanShowUp', '#brat', '#SoFiMoneyMoves', '#foryourpage', '#fypシ', '#fyp', '#covid19']"
7039122095569243398,"missyb_tx_grl","Not no but heck no!!!",24.309,1627,157,"original sound - Tik Toker","['#PawlidayPics', '#SimsSelves', '#novaccine', '#nojoe', '#wakeup', '#pureblood', '#patriot', '#nojab', '#fyp', '#nopoke', '#covid19', '#eyeswideopen']"
7078809755258555691,"jynavesia","",8.984,1499,86,"original sound - Brett 🇺🇸","['#imoutherelivingtho', '#nopoke', '#fcovid', '#stillunvaccinated', '#unvaccinated', '#AEMembersAlways', '#fyp', '#HaloSilverTeam', '#republican', '#pureblood', '#lgb', '#fjbmovement', '#trump2024🇺🇸', '#makeamericagreatagain', '#amen', '#patriots', '#myfam', '#wakeup', '#notforme']"
7057972908685004038,"elisevans83","",9.75,1378,24,"My Truck - Breland","['#land', '#rover', '#defender', '#beast', '#stacks', '#no', '#smoke', '#nopoke', '#td5', '#250hp💨💨💨']"
7072493674122251562,"shannylovey","",12.281,1360,204,"original sound - Original Mendoza","['#novax', '#nopoke', '#nomandates', '#fcovid', '#lgbfj', '#corruption', '#congratulations', '#fam', '#dontdivide', '#ourland', '#wethepeople', '#freedomconvoy']"
7067461914745376002,"tanisha__162","No poke officer🤡",6.081,1305,10,"love game gimme more - edits","['#fyp', '#foryou', '#viral', '#6inch', '#35s', '#6inch35s', '#modified', '#nissan', '#navara', '#np300', '#4x4', '#4x4girls', '#livin', '#defect', '#4wd', '#poke', '#nopoke']"
7059382185815444783,"jynavesia","",7.869,1240,124,"original sound - I’mmedealwithit","['#fcovid', '#alljokes', '#toofunny', '#darkhumour', '#curruption', '#nopoke', '#fvaccinemandate', '#lgbfjb', '#laugh', '#momsoftiktok', '#mytv', '#plasma', '#haha', '#notforyou', '#idontthinkso', '#loveit', '#humor', '#survive', '#joke', '#soberlife', '#🤣']"
7075261247729732865,"tanisha__162","Stop with all the talk let’s see some action😮‍💨",6.174,1173,2,"Can I - Drake","['#fyp', '#foryou', '#viral', '#6inch', '#35s', '#6inch35s', '#modified', '#nissan', '#navara', '#np300', '#4x4', '#4x4girls', '#livin', '#defect', '#4wd', '#poke', '#nopoke', '#trending', '#blonde']"
7069673791357521158,"tanisha__162","",12.281,1157,5,"original sound - Tik Toker","['#fyp', '#foryou', '#viral', '#6inch', '#35s', '#6inch35s', '#modified', '#nissan', '#navara', '#np300', '#4x4', '#4x4girls', '#livin', '#defect', '#4wd', '#poke', '#nopoke']"
7079323823065107714,"tanisha__162","🥵",10.934,1161,5,"Cool for summer x Pony - Kuya Magik","['@slickazz', '#fyp', '#foryou', '#viral', '#6inch', '#35s', '#6inch35s', '#modified', '#nissan', '#navara', '#np300', '#4x4', '#4x4girls', '#livin', '#defect', '#4wd', '#poke', '#trending', '#nopoke', '#rolling', '#blonde', '#inlove', '#blonde']"
7061766052451028271,"jynavesia","",5.988,1055,100,"original sound - Have a great fuckin day 🖕🏼","['#sayitagain', '#period', '#fcovid', '#fmandates', '#nomask', '#nopoke', '#notformyfamily', '#corruption', '#lgb', '#fjb', '#standstrong', '#wethepeople', '#pureblood', '#fno', '#nope', '#bye', '#momsoftiktok', '#sorrynotsorry', '#trump2024']"
7059388491964321070,"jynavesia","",15.183,784,83,"original sound - Chloe Andrews","['#no', '#nopoke', '#fcovid', '#curruption', '#sorrynotsorry', '#lgbfjb', '#stand', '#noway', '#momsoftiktok', '#crazy', '#dontthinkso', '#politics', '#fyp', '#notformebutforyou', '#trump2024', '#worsepresidentever', '#vaccine', '#darkhumour', '#lovethis', '#haha']"
