v_id,creator,desc,duration,likes,comments,sound,tags
6987007839164288262,"harmonymillerx","",8.148,679800,22100,"Like move it dance - Jikamanu","['#september', '#novaccine', '#comedy', '#CleanItScrunchItCoopIt', '#fypシ', '#clubs', '#dancing', '#bestiesforever', '#covid19']"
7012392487415205125,"tythefisch","",34.735,202100,5359,"original sound - Tyler Fischer","['#unvaxxed', '#vaccine', '#covid', '#manbun', '#hilarious', '#comedy', '#comedian', '#woke', '#liberal', '#biden', '#australia', '#democrat', '#republican', '#novaccine', '#maskoff', '#mandate']"
6904802532011396353,"skaggin","",59.21,137400,3502,"original sound - SKAGGIN","['#foryourpeople', '#fyp', '#fypシ', '#antibodies', '#whitebloodcell', '#papayaleafjuice', '#naturecure', '#boostimmune', '#covid19time', '#coronavirus', '#novaccine']"
6997889752938581253,"victorriiaaaaaa","no hate, everyone just has their own opinions.",7.776,60400,1369,"syo anaconda - kai !!!","['#mybodymychoice', '#fyp', '#novaccine', '#foryoupage']"
7005795563866246405,"tythefisch","",23.473,59100,1840,"original sound - Tyler Fischer","['#vaccine', '#vaccinated', '#novaccine', '#maskoff', '#conspirancytheory', '#conspiracytiktok', '#conspiracies', '#comedy', '#government', '#stalker', '#hilarious', '#covid', '#corona']"
6909421933834538245,"wackiekid","with",59.164,56100,839,"Steven Universe - L.Dre","['#duet', '@madisontaylorn', '#fyp', '#fypシ', '#foryou', '#foryourpage', '#jamaicanremedy', '#novaccine']"
6973015716446358789,"sir_veteranguy","with",27.583,50600,1648,"JukeBox Hero - Syler","['#duet', '@the_jfg', '#SouthCarolina', '#Governor', '#NoVaccine', '#RedState']"
7002010566013324550,"p_renee_","ALL HATE WILL BE REMOVED‼️",34.479,47700,2354,"How strong I am - Jazz Thornton","['#freedom', '#lionsnotsheep', '#novaccine', '#mybodymychoice', '#wakethelions', '#paulenereneephotography', '#donotcomply']"
6967704291347893510,"evalicious_8910","who’s coming with me ? 🤣",10.841,46600,3020,"Sure Thing (cover version) - Tik Toker","['#covid', '#covid19', '#vaccine', '#novaccine', '#fypシ', '#foryou', '#funnyvideo', '#trend', '#viral', '#jail']"
6997203473427139846,"gregfreedompatriot","",45.324,31600,3084,"original sound - Bratland Unleashed","['#katebrown', '#oregon', '#mandate', '#freedom', '#fired', '#courage', '#bold', '#trump', '#bidenisadictator', '#novaccine', '#nomask']"
6987930587889667334,"indibluu","Let me know I’m the comments 🧐",14.603,29800,6326,"Amityville Horror - Scary Halloween Sound Effects - Halloween Sound Effects","['#novaccine', '#christian', '#confused', '#jesussaves']"
7000377489780444422,"ashleyranow","",39.054,26900,613,"original sound - Ashley Ranow","['#covid', '#ChewyChattyPets', '#disneytiktok', '#MicroRaveWithRoni', '#momsoftiktok', '#momsover30', '#nursesoftiktok', '#nursesagainstthejab', '#mandate', '#novaccine', '#antimask']"
6997847408658943238,"evalicious_8910","where’s my unvaxed family at ? 🥰",13.837,26700,2567,"original sound - That Ginger Fella","['#unvaccinated', '#covid19', '#jabs', '#vaccine', '#covidjabs', '#novaccine', '#fypage', '#foryou', '#fy']"
