v_id,creator,desc,duration,likes,comments,sound,tags
7049907786385313070,"anotherkind111","Don’t hate",8.31,496800,7054,"original sound - Simongcomedy","['#covidnegative', '#omicronvariant', '#masksareuseless', '#novaccineforme', '@hollysworld247']"
6964151144553663750,"blue_eyed_patriot89","SORRY AIN'T GOT ONE!",7.244,139700,1530,"original sound - Brittanie","['#novaccineforme', '#nojab', '#nomasks', '#trump2020', '#trumptrain', '#patriot', '#freedom']"
7013867933550136582,"eleelo11","Karma🤪",8.078,76800,454,"original sound - officialsupremeaudioz","['#republican', '#fyp', '#foryou', '#dirtbikes', '#foryoupage', '#viral', '#trending', '#smalltown', '#novaccineforme', '#snitches', '#BenefitOfBrows']"
6960680386238205190,"ms.tania_23","with",43.698,33300,261,"original sound - Tik Toker","['#duet', '@the_angry_texan_v1', '#novaccineforme', '#fypシ', '#itsthehypocrisyforme', '#RefundGlowUp', '#LoveMeMode']"
7058845865535917318,"a_star2211","",38.335,29200,1482,"original sound - Amanda R","['#ottawa', '#truckerconvoy2022', '#justsayno', '#saveourkids', '#trucker', '#novaccineforme', '#ottawacanada', '#riseup', '#freedom']"
6996437769664908550,"josephpartain","!",8.078,27600,926,"Everybody (Backstreet's Back) (Extended Version) - Backstreet Boys","['#NOVACCINEFORME']"
6997455350748253445,"taylormarieleeka","Everyday comments🙄",10.075,22800,0,"оригинальный звук - Anna Bruni","['#covid19', '#novaccineforme', '#nursesoftiktok💉💊', '#nomorecovid', '#nursesrights']"
6970029621286817030,"randinorman0","",12.56,22400,250,"original sound - Kylie Hernandez","['#novaccineforme', '#nothanks', '#dontdrinkthekoolaid', '#fyp', '#foryou']"
6960902644944620805,"theeeandrewduncomb","cant believe he'd ask me that.",8.544,20500,307,"original sound - Andrew Duncomb","['#novaccineforme', '#justsayno', '#justsaynotobiden', '#fyp']"
6963867994409798917,"_madddison_","little weird.",8.078,14900,1001,"Ha Ha Ha - 𝑷𝒐𝒑𝒑𝒆♡","['#conservative', '#republican', '#masksareuseless', '#novaccineforme', '#SpotlightAPI']"
6991910800910847238,"imillyyyy1020","Help a girl out. I need answers.",35.06,14500,2834,"original sound - Amelia (:","['#help', '#novaccineforme', '#opinions?', '#SummerMashup', '#covid19timeagain', '#maskssuck']"
7064024498978180357,"justopasstime","",12.259,14200,1045,"original sound - Original Mendoza","['#unvaxxed', '#novaccineforme', '#ontario', '#mybodymychoice', '#standstrong', '#canada', '#gotruckersgo', '#fyp', '#foryourpage']"
6968892281596267782,"destinyrobless","Make it make sense 😂",11.004,12600,883,"adora cosplayers ily - kyla!!!","['#fyp', '#foryou', '#novaccineforme']"
7032772757750402309,"julienaddie","No vaccine from us",7.544,12300,1357,"original sound - Beau Pinto","['#novaccineforme', '#novaccine', '#novaccineforcovid19', '#nocovid', '#nocovid19vaccine', '#togetherwearestrong💪🏻', '#findyourtribe', '#foryoupage']"
6995525755874610437,"marissa_faith1989","Good morning 🙃",7.73,12200,278,"INSPIRATION - a.d.witdacontent","['#covid', '#novaccineforme', '#fypシ', '#foryou', '#foryoupage', '#4u', '#SyncYourMiO', '#viral', '#nursing', '#christian', '#christiantiktok']"
6979411809581190405,"official_daniellemarie19","with",15.276,11800,489,"original sound - Tik Toker","['#duet', '@steelewalker4.21', '#vaccine', '#novaccineforme', '#covid', '#enough', '#TakisTransformation', '#america', '#patriot', '#republican', '#fyp']"
7039355415817342254,"nissanpartsguy81","Answer",17.971,11400,459,"original sound - Nissanpartsguy81","['im_siowei', '#texascheck', '#Texas', '#nomask', '#maskless', '#covid', '#mexicantiktok', '#houston', '#havingfun', '#novaccineforme', '#govabbott']"
6996142468970335494,"jessicamayberry5","Bingo! Send it by mail please..",38.289,22400,522,"original sound - Tik Toker","['#novaccineforme']"
6963642107714178309,"nwlivingandlife","",9.937,10600,321,"original sound - Tik Toker","['#bidenisajoke', '#wearamask', '#notwearingamask', '#vaccine', '#covid19', '#notgettingit', '#novaccineforme', '#wakeup', '#conservative', '#democrat', '#ithinkimgonnaleave']"
6966313838476315910,"jeffharryplays","Welcome to The Vaccine Hunger Games!",15.183,10200,766,"Honobono suspicious comedy comical fagott - poco poco music","['#vaccine', '#hungergames', '#katniss', '#unvaxxed', '#novaccineforme', '#novaccine', '#covid19', '#vaccine', '#getvaxxed', '#tribute', '#panem']"
6969168961166380294,"georgiagirlsonya","",135.046,10200,1086,"original sound - gagirlsonya","['#wakeup', '#conservativehypehouse', '#novaccineforme', '#novaccinehere']"
6999795916135763206,"vonda_jernigan","",10.214,9111,466,"original sound - user vhonda","['#fyp', '#trumptrain', '#novaccine', '#novaccineforme', '#bidenisnotmypresident🤡🤡', '#usa', '#freedomofspeech', '#Tiktoksuck']"
6997594324657556741,"hannahdlowe","No hate, everyone just has their own opinions!",7.869,8744,157,"syo anaconda - kai !!!","['#fyp', '#justsayingthetruth', '#novaccineforme']"
7029269165189975301,"evalicious_8910","Why u worried if u had your jabs? 😅🤷🏻‍♀️",15.183,8514,1214,"The Magic Bomb (Questions I Get Asked) [Extended Mix] - Hoàng Read","['#fypシ', '#fyp', '#fyppage', '#covid19', '#covidjabs', '#nojabs', '#novaccineforme', '#foryou', '#vaccine', '#unvaccinated']"
7024189456173337862,"hallietannery","Trump 2024!!🇺🇸❤️🤍💙",15.207,6718,1111,"original sound - Savannah Schillinger","['#fyp', '#hatemasks', '#trump2024', '#america', '#novaccineforme', '#snowflakes']"
7016748008951827718,"eleelo11","Not giving in:)",5.478,6228,121,"original sound - Monaleo","['#viral', '#fyp', '#republican', '#corona', '#novaccineforme', '#novaccine', '#foryou', '#trending', '#ifyouthinkimaswitcher', '#covid', '#standup', '#trump2024']"
7054850303627103493,"witchdun","",143.056,12400,1060,"original sound - Lisa Jane","['#trending', '#wakeup', '#viralvideo', '#nhs100k', '#fyp', '#novaccineforme']"
7039066786116963590,"nelinevrijn","En ga zo maar door met 4,5,6,7 boosterprik. Ben benieuwd of mensen de 3de gaan nemen? Ik blijf wappie.",10.284,5717,917,"original sound - The official barb","['#fyp', '#fy', '#vaccine', '#novaccineforme', '#byebye']"
7015641759191403781,"shell.213","what I realized concerning the Jab",180.279,5146,766,"original sound - Shell M","['#novaccineforme', '#christiantiktok', '#trustGod']"
7014642028952767749,"nathdawg71","Come on people let’s join together and kick this administration out the door.",180.184,5004,1016,"original sound - Bignate","['#novaccineforme', '#mybodymychoice', '#fjb', '#freedom', '#fightcovid19', '#patriots']"
7074688662046362923,"halstondare","Lmao it’s a joke",10.354,4937,142,"original sound - cottonmouth","['#top10stupidestpeople', '#top10stupidest', '#lol', '#prochoiceisprolife', '#prochoice', '#prolife', '#vaccine', '#novaccineforme', '#funny']"
7009022045891644677,"realevandavis","",8.148,4791,752,"original sound - Evan Davis","['#vaccine', '#vaccinemandates', '#vaccinemandate', '#covid19', '#covid', '#covidvaccine', '#vaccinemandateoryourjob', '#unvaccinated', '#novaccineforme']"
7003763787044048133,"bobbyjr_","Shove it",14.603,4541,204,"original sound - LeRoy Miller","['#shoveit', '#mask', '#covid19', '#walmart', '#takethismaskandshoveit', '#doesitwork', '#novaccineforme']"
7012756884297895173,"eleelo11","No vaccine for me:)",13.976,4511,130,"original sound - Brett 🇺🇸","['#novaccineforcovid19', '#novaccineforme', '#standup', '#republican', '#sthld', '#stetsons', '#dirtbikes', '#covid', '#covidvaccine']"
7034423120207432965,"andrei_baiamare","",36.733,4112,435,"sunet original - Balint","['#vaccine', '#covid19', '#fp', '#impfung', '#goviral', '#vacc', '#novaccineforme', '#combina', '#fyp']"
6996694193250848005,"momma.reh","with",59.139,4013,186,"original sound - Patriotic_Beard","['#duet', '@patriotic_beard', '#Mommabear', '#donttouchmychild', '#momsoftiktok', '#nomask', '#novaccineforme', '#patriotmomma']"
7056417359560527110,"a_star2211","",29.744,3919,231,"Not Afraid - Eminem","['#standstrong', '#ottawa', '#standstrongtogether', '#worldwidefreedomrally', '#freedom', '#justsayno', '#saveourkids', '#novaccineforme', '#freedomrally']"
7040606206913973551,"jessicadry8426","never want to hear it",17.089,3902,262,"pumped up kicks x tate langdon - 🖤","['#fypシfypシツ', '#GiveWithAllYourHeart', '#humanity', '#novaccineforme', '#fjb', '#wakeup', '#covid19sucks']"
6994585225405795589,"a.freedom.storie","",15.185,3867,1321,"God We Need You Now - Struggle Jennings & Caitlynne Curtis","['#washingtonstate', '#washingtoncheck', '#SHEINcares', '#medicalfreedom', '#stopthemandate', '#conservativewomen', '#unitedwestand', '#wethepeople', '#novaccineforme', '#covid19']"
7062175893547977989,"itsamandanicolec","Discrimination without your vaccine😡",66.198,3738,714,"original sound - Amanda","['#covid19', '#novaccineforme', '#ontariohealthcare', '#fyp', '#foryoupage', '#covid19virus', '#wearethefringe']"
7033518056458489094,"notovaccination","",15.903,3699,108,"Originalton - notovaccination","['#fyp', '#foryou', '#foryoupage', '#croatia', '#zagreb', '#demonstration', '#novaccineforme', '#freedom', '#godblessyou']"
6967123492902833414,"girlwiththesunglasses561","",9.078,3686,151,"original sound - #FamousGigi","['#novaccineforme', '#NoVaccine', '#novaccineformethankyou', '#mybodymychoice', '#ConservativeGirl', '#TrumpDeSantis2024', '#TrumpSupporters', '#America', '#MAGA', '#fypage']"
7023141493762313478,"digitalcovid19cards","NO VACCINATION NEEDED!!!",18.552,3645,347,"original sound - Peter Ward","['#novax', '#nojabnojob', '#novaccineforme', '#nomandates', '#NoVaccine', '#novaxmandates', '#nojabforme', '#australia', '#nojab']"
6948185690081332486,"breepacheco","Sorry not sorry",5.129,3556,493,"you need to leave - m<333","['#GoForTheHandful', '#learnwithme', '#vaccine', '#covidvaccine', '#covid', '#novaccineforme', '#fyp', '#viral']"
7023025596431158533,"jmigz0907","",19.41,44700,3498,"original sound - JMigz","['#nomandates', '#novaccineforme', '#letsgobrandon', '#nyc']"
6992615597519506693,"fyi.intel","",180.184,40700,1436,"original sound - FYI.INTEL","['#covid19', '#novaccine', '#novaccinepassaport', '#novaccineforme', '#wethepeople', '#globalistagenda', '#franceprotests', '#viennaprotest', '#londonprotest']"
7051710890101656879,"stevetrang","",53.613,3536,471,"original sound - Steve Trang","['#sales', '#salesman', '#salestips', '#salesman', '#vaccine', '#vaccination', '#vaccinated', '#notvaccinated', '#novaccineforme', '#saleshumor', '#saleslife', '#saleswoman', '#idk', '#haha']"
7008161187015724294,"melis_dg_","",13.188,3250,366,"original sound - bellasheri","['#novaccineforme', '#✌', '#vrijekeuzetoch', '#alleenwordtjebuitengesloten', '#watheeftditnogtemakenmetcorona']"
6963295787673505029,"rachelemmacunningham","",8.496,3195,2074,"Run Free (Original Mix) - Deep Chills & Deep Chills","['#vaccin', '#corona', '#novaccineforme', '#bye', '#viral', '#tiktok', '#explore', '#fyp', '#foryou', '#foryoupage', '#foryoupageofficiall', '#foryourpage', '#fypシ', '#🚫💉']"
6995401072965668102,"onefiddy_kingranch","",21.639,63700,2222,"original sound - Seth Wielt","['#novaccineforme', '#covid19', '#foryou', '#foryoupage']"
