v_id,creator,desc,duration,likes,comments,sound,tags
7053788669148155142,"ipanpers","Video completo su YouTube ! 🎟Biglietti per il tour nella Bio ✅",60.416,329600,5766,"suono originale - PanPers","['#panpers', '#perte', '#viral', '#vaccini', '#novax']"
6961440736365563141,"louis_hawk","",29.835,183300,841,"suono originale - Louis Hawk","['#cartonimorti', '#viral', '#covid21', '#vaccino', '#novax', '#complottisti', '#nonsonomicastupido']"
7049797062216518918,"news.trash","pareri?",128.034,172300,18800,"suono originale - news.trash","['#perte', '#neiperte', '#perlatuapagina', '#novax', '#sivax', '#provax', '#greenpass', '#nogreenpass', '#vaccino', '#italia', '#novaxitalia']"
7047216724919258373,"viviallestero.com","Cosa ne pensate?",43.885,161400,8082,"original sound - stefano piergiovanni","['#vaccino', '#novax', '#aereo', '#voloaereo', '#espulsione', '#dibattito', '#cosanepensate', '#discussione', '#covid19', '#regolecovid', '#confronto', '#viaggiare']"
6986746068809551109,"pennybluemom","",58.976,156300,5489,"original sound - Penny Blue-Case","['#health', '#skiptherinse', '#silenced', '#novax', '#soakupthesun']"
7055569699790146818,"adamtraj","Novak walking the streets of Melbourne without a care in the world…",9.611,152700,1249,"original sound - adamtraj","['#fyp', '#foryourpage', '#jla', '#novakdjokovic', '#novax', '#tennis', '#ausopen']"
7001906245305175302,"mondointernet","SOLO A ME FA RIDERE?? 😂",19.179,292800,6464,"suono originale - mondointernet","['#italia', '#negazionisti', '#novax', '#nomask']"
6996193224125598982,"apologygrl_","😂",15.253,133000,3297,"suono originale - Anna🦇","['#novax', '#covid', '#greenpass']"
7042761686922628358,"news.trash","pro o contro la politica di zeno?",60.626,129000,4473,"suono originale - news.trash","['#perte', '#neiperte', '#virale', '#zeno', '#covid19', '#coviditalia', '#vaccino', '#vaccinoobbligatorio', '#novax', '#provax']"
6985796627613191430,"pioggia.acidella","Rispondi a",51.501,122700,5591,"suono originale - pioggia.acidella","['@catwoman813', '#haters', '#novax', '#bodypositivity', '#bodyshaming', '#neiperte', '#pt', '#pioggiaacidella', '#vaccine']"
6989947362101841157,"andreadel1988","",44.094,231900,3643,"suono originale - Andrea Delnegro","['#novax', '#lalogicaregna']"
7004400558228442374,"risata.garantita","Vaccino in strada😂",64.99,109600,1137,"suono originale - 💎Risata Garantita💎","['#theshow', '#risatagarantita', '#scherzo', '#pzifer', '#novax']"
7068819274504178949,"jorge_channel","",68.241,103000,2407,"suono originale - Jorge_channel","['#guerraucraina', '#ucraina', '#berlusconi', '#novax']"
