v_id,creator,desc,duration,likes,comments,sound,tags
6971866192218950917,"barcandynyc","",15.137,33,0,"original sound - Erica Lancellotti","['#nyc', '#hamptonnightlife', '#southampton', '#naiahamptons', '#reservationrequired', '#nomasks', '#novaxneeded', '#hamptonmodelhangouts']"
7049965613841698053,"mandafanshier2022","",15.207,63,9,"original sound - Melissa Linder","['#novaccineforme', '#noshots', '#nothankyou', '#covid', '#wegoodoverhere', '#novaxneeded', '#no', '#everyonetellingmetogetthevaccine']"
7006032008921074950,"mothermarygoddess","Nature is OPEN!!",43.351,22,0,"original sound - Mother Mary","['#novaxneeded', '#novax']"
7068032869628824878,"wandermust007","!! BREAKINGThe Travel Authorization and travel related quarantinemeasures will no longer be required #f",59.278,21,2,"Paradise - Bazzi","['#novaxneeded', 'reedom']"
7068075605316750639,"thathippiedoc","",85.447,26,2,"BORN FOR THIS - Foxxi","['#HairFoodChallenge', '#doctorofnaturalmedicine', '#optimalhealthky', '#nowopen', '#novaxneeded']"
7070132822530362630,"jessicaward267","Happy March 1st 🤘🙏😍",8.335,7,1,"Hot N Cold - Sped up songs ⚡️","['#f', '#didntgetcovidclub', '#novaxneeded']"
7008629877649755397,"thuillierd","",20.177,4,0,"Count on Me - Bruno Mars","['#nature', '#therapy', '#madewithlove', '#family', '#cures', '#breathe', '#grate', '#novaxneeded']"
6855389502983130373,"casmomiss35","",59.117,394,41,"original sound - I’mTHATmom🙄35","['#novaxneeded', '#covidcure', '#immunity', '#trump2020', '#mymomwasmypediatrician']"
7066600039891914030,"diahannphoto","",10.169,12,0,"Say whaaat? - Comedy","['#TestResults', '#HolyCrap', '#SayWhat', '#YouDontSay', '#DontAskDontTell', '#DirtyLittleSecret', '#Trojans', '#AIDS', '#SafeSex', '#GetLaid', '#NoVaxNeeded', '#NoJabNoSlab']"
7067431448973708591,"diahannphoto","",10.169,7,2,"Boyfriend - Dove Cameron","['#Invasion', '#Russia', '#Ukraine', '#AreYouReady', '#JesusOfNazarethIsLORD', '#NoFearHere', '#NoVaxNeeded', '#PureBlood']"
7042516135253757231,"diahannphoto","",10.169,4,0,"Criminals - F.O.O.L","['#Pfizer', '#MyBodyMyChoice', '#Vax', '#FYP', '#Jab', '#JesusIsLord', '#NoFearHere', '#NoVaxNeeded', '#PureBlood']"
6966656907285220614,"mountainmaiden225","with",6.57,5,0,"God We Need You Now - Struggle Jennings & Caitlynne Curtis","['#duet', '@metye257', '#novaxclan', '#NoVaxNeeded']"
7002799588461595910,"diahannphoto","",10.169,1,0,"original sound - Diahann Total U","['#StopTheMandate', '#NoVaxNeeded', '#StrongImmuneSystem', '#BigPharmaGreed', '#BigBrother', '#JesusIsLord']"
6995941503508040965,"diahannphoto","",10.169,1,0,"original sound - Diahann Total U","['#MarkOfTheBeast', '#NWO', '#OneWorld', '#DoNotBeDeceived', '#JesusIsLord', '#KingOfKings', '#NoVaxNeeded', '#JesusSaves']"
