v_id,creator,desc,duration,likes,comments,sound,tags
7070610366731980074,"mrshikesalot","Make it make sense!",94.201,270800,7484,"original sound - I Heart Wandering","['#unmaskourkids', '#letthembreathe', '#parentsforfreedom', '#mandatefreedom', '#wethepeople']"
7066313061476437294,"mrshikesalot","Chino Valley Unified School District",180.184,53400,3236,"original sound - I Heart Wandering","['#unmaskourkids', '#letthembreathe', '#wewillnotbesilenced', '#freedomfighters', '#mandatefreedom']"
7008964056073686278,"robastorino","She is now masking 2-year olds! Elect me and I will stop it!🗽",14.348,53300,2637,"Monkeys Spinning Monkeys - Kevin MacLeod & Kevin The Monkey","['#NY', '#unmaskourkids', '#unmaskourchildren', '#governor', '#robastorino', '#kathyhochul']"
7063573644043390254,"mrshikesalot","We the parents are no longer gonna take it! It’s time to unmask our kids!",31.925,36000,1503,"We're Not Gonna Take It - Twisted Sister","['#unmaskourkids', '#freedomfighters', '#wearenorco', '#horsetownusa']"
6999759175177735430,"macey_james","",7.242,27500,75,"I got sponsibilities now - No Context Nostalgia","['#MyTeacherWins', '#teacher', '#teachertiktok', '#elementaryteacher', '#firstyearteacher', '#firstgradeteacher', '#fyp', '#teacherlife', '#unmaskourkids', '#dreamjob']"
7068133347058257199,"shafrank","",12.42,26700,2884,"The Patriot (feat. The Marine Rapper) - Topher","['#maskmandates', '#capublicschool', '#applevalleyhighschool', '#unmaskourkids', '#letthembreathe', '#followthescience']"
7003654712465624326,"mediocre_mom_of_5","with",51.639,24800,770,"original sound - Cortney","['#stitch', '@jenniferfraser8', '#CinderellaMovie', '#ArmaniMyWay', '#biden', '#trump', '#medicalfreedom', '#unmaskourkids', '#mybodymychoice', '#justforfun', '#covid19']"
7061376076886445359,"robastorino","😳",5.245,21600,405,"WHY ARE PEOPLE USING MY SOUND - Aries/iivseii","['#nomamdates', '#unmaskourkids', '#robastorino', '#nygovernor', '#newyork']"
7056529717775748399,"robastorino","What the duck is she thinking? 🐥",9.913,15600,780,"original sound - ⭐️Helene⭐️","['#kathyhochul', '#robastorino', '#unmaskourkids', '#newyork', '#nomandates', '#governor', '#ny']"
7070022813540748590,"_kcamille","These parents don’t play.",26.608,15400,394,"original sound - Camille Jax","['#CorollaCrossStep', '#fyp', '#schoolboardmeetings', '#onnotice', '#unmaskourkids', '#wetheparents']"
7057508125548776751,"mamagnome93","",103.257,26800,0,"original sound - naomisimmons1221","['#family', '#protectthem', '#unmask', '#unmaskourkids', '#school', '#standup', '#fyp']"
7003827200520621317,"itsriss_elesi","Over him and his BS.",6.313,8791,467,"original sound - (S) A I N T","['#doublestandard', '#bigbadwolf', '#unmaskourkids']"
