v_id,creator,desc,duration,likes,comments,sound,tags
7007229029828939010,"news.com.au","She’s back!",41.19,468100,24100,"original sound - News.com.au","['#fyp', '#gladysberejiklian', '#nsw', '#sydney', '#lockdown', '#australia', '#news', '#vaccine', '#unvaccinated', '#vaccinated', '#gladys']"
7001627338857286918,"kimtay8911","Sounds legit",21.592,378600,8363,"Get Into It (Yuh) - Doja Cat","['#unvaccinated', '#iwillnotbeforced', '#conservative', '#donotcomply', '#nomandates', '#conservativetiktok', '#fdaapproved', '#mailinvaccine']"
7006461032067616005,"hollywoodmoments","🤔🧐",26.77,372500,27800,"original sound - HollywoodMoments","['#jimmykimmel', '#covid', '#vaccinated', '#unvaccinated', '#foryou', '#usa', '#interesting', '#comedy', '#hollywood', '#viral', '#xyzbca']"
7011694589778136326,"esmesalways1st","Son-in-law shenanigans #",14.163,281900,4811,"Happy Laughing - Sound Effect","['mask', 'soninlaw', 'unvaccinated']"
6952565041237363973,"trace.oldner","We are here. We are waiting.",15.23,265100,9251,"original sound - Prs Joshi","['#autobots', '#unvaccinated', '#vaccine', '#countryboy', '#texas', '#fyp', '#xyzbca', '#viral']"
6965622929556065542,"crazymotherrunner","The rabbit hole is deep with this sound 😳",43.164,239100,5558,"SCREW ANTIVAXXERS AND GET YOUR VACCINE - 😋","['#hungergames', '#TWDSurvivalChallenge', '#maytheoddsbeforeverinyourfavor', '#unvaccinated', '#getvaccinated', '#covid19']"
7021272803722759430,"mechanicaleraser","",92.854,207200,8371,"original sound - Amanda","['#greenscreen', '#braintumor', '#neurosurgery', '#icu', '#unvaccinated', '#sicktok']"
6983062813228944645,"uzzy.x","Views on the",16.228,184200,9393,"original sound - Uzzy 💚","['#covid19', '#vaccinated', '#unvaccinated', '#uk', '#skynews', '#pandemic', '#thoughts', '#vaccinecoronavirus', '#england']"
6966360031847615749,"jackiefromtiktok","Where you at",5.803,181400,25200,"SCREW ANTIVAXXERS AND GET YOUR VACCINE - 😋","['#twdsurvivalchallenge', '#foryou', '#vaccine', '#unvaccinated', '#fyp', '#choice', '#sipintosummer']"
6982959453868002566,"manditokstoomuch","OMG JUST GET VACCINATED PEOPLE (unless you have a health issue and can’t and that’s totally different obvs)",8.264,172400,7107,"I get krazy - The real Huey Freeman✨","['#vaccinated', '#unvaccinated', '#deltavariant']"
7016425132168088837,"shearflame","with",175.333,171700,2630,"original sound - Shearflame","['#stitch', '@frauloewenherz', '#covid19', '#unvaccinated', '#voting', '#consequences', '#poc', '#republicansdontcare', '#covidvaccine']"
7008269840351907078,"neynerrr","",9.426,139900,22000,"original sound - Jake","['#mybodymychoice', '#mybody', '#freedom', '#fight', '#unvaccinated', '#nurse', '#registerednurse', '#RN']"
7018341935349763329,"news.com.au","Looks like this guy’s anti-vax attack on a local cafe backfired. 😬",90.532,138700,6604,"original sound - News.com.au","['#fyp', '#sydney', '#freedomday', '#nsw', '#australia', '#smallbusiness', '#tempe', '#cafedzajko', '#antivaxxer', '#unvaccinated', '#vaccinepassport', '#proofofvaccination', '#benfordham', '#2gb']"
7021217976665820422,"lefthook713","",13.605,137100,1223,"original sound - Tristan Maloney","['#vax', '#antimask', '#unvaccinated', '#unvaxxed', '#left', '#right', '#conservative', '#republican', '#liberal', '#democrat', '#fjb', '#letsgobrandon', '#fyp', '#foryoupage', '#xyzcba', '#xyzbca']"
6995485804046912774,"fierymasala","",10.981,110500,5613,"Spongebob Tomfoolery - Dante9k Remix - David Snell","['#unvaccinated', '#fertility']"
7013720025462820102,"aravosis","20 y.o.",84.634,104000,5613,"original sound - John Aravosis","['#unvaccinated', '#Covid', '#vaccine']"
7055872638266297646,"rosarias.usedtampon","Saw someone do this and realized my friend has also survived these 🤷‍♀️",6.406,102100,3010,"COLORFUL HEART (feat. 初音ミク) - Papikorin","['#fyp', '#friends', '#cancer', '#carcrash', '#covid19', '#unvaccinated', '#xyzbca']"
6974144950481046790,"mmurphy1019","",8.705,92600,1409,"Im not afraid anymore Im joe biden - Tik Toker","['#comehome', '#trump2024', '#makeamericagreatagain', '#unvaccinated', '#unmasked', '#unmuzzled', '#unafraid', '#hidenfrombiden']"
7010077274049465606,"joe7grace9","",15.207,77100,1507,"Copperhead Road - Steve Earle","['#greenscreen', '#arizonacheck', '#arizona', '#bordercrisis', '#unvaccinated']"
7049176768246336773,"laurenpcrna","There is no comparison",59.209,77100,3342,"original sound - Lauren P CRNA","['#covid', '#vaccinated', '#unvaccinated', '#hospitalization', '#breakthroughcase']"
6992033411334556933,"guadgoes","",60.37,76700,7996,"original sound - GUADgoes","['#karen', '#kevin', '#jerk', '#covid', '#vaccine', '#covidvaccine', '#unvaccinated', '#rude', '#selfish', '#yelling', '#respect', '#rules', '#vaccinated', '#greatergood']"
7005739387799588102,"patriot_lyndz","Just my thoughts….",13.279,73800,2626,"Sweet Dreams - PuppetMaster","['#harrypotter', '#pureblood', '#36SecondsOfLightWork', '#unvaccinated', '#covid19', '#foryou']"
7006339001997217030,"aravosis","just",67.382,72100,6011,"original sound - John Aravosis","['#France', '#banned', '#unvaccinated', '#American', '#tourists', '#covid']"
6966641373953002758,"stephaniewileypol","salon#",14.905,71700,1682,"Hunger Games - We Are Band Nerds","['#unvaccinated', '#THEJFG', '#MyBodyMySalon', '#fyp', '#WV', '#foryoupage']"
6997459259105594630,"the.one.and.only.me.2.0","",10.169,70400,2275,"Hanging Tree - Beowülf & JRDN","['#freedomnotforce', '#nursesoftiktok', '#covid19', '#unapologetic', '#unvaccinated', '#covid19']"
7039512018197499183,"kalina_marie_23","The good can win ❤️",26.886,69700,2806,"My Little Love - Adele","['#unvaccinated', '#unvaccinatedamerica', '#unvaccinatedhealthworkers', '#unvaccinatedlivesmatter', '#christmasmiracle']"
6963321219223457029,"peytonsmithr","with",10.772,68700,374,"deja vu - Olivia Rodrigo","['#duet', '@chester_078', '#unmasked', '#unvaccinated', '#unbothered']"
7017062573082266886,"truckerginger","#fuckjoebiden",50.479,68600,3266,"original sound - Tik Toker","['#unvaccinated', '#singlelife', '#cdllife', '#ComeAndMakeMe', '#2ndadmendment']"
6994537734316559622,"tpa.cuban","with",58.465,62800,2839,"original sound - It’s Courtney bitch","['#duet', '@courtneyhanco12', '#SHEINcares', '#rue21BeYouChallenge', '#foryoupage', '#foryou', '#foryourpage', '#foru', '#conservative', '#medicalfreedom', '#unvaccinated']"
7019332436823723269,"theluncheonlawyer","with",16.437,59000,769,"original sound - Theluncheonlawyer","['#stitch', '@neynerrr', '#unsungheroes', '#unvaccinated']"
7045634366298590511,"blondie9988","",15.183,56600,1684,"original sound - Mini_Momma","['#unvaccinated', '#rights', '#FJB', '#willnotcomply']"
7019797401821007109,"whitplusfive","",32.807,55200,880,"original sound - Whitney","['#greenscreen', '#letsgobrandon', '#hidingfrombiden', '#christmascard', '#photo', '#unvaccinated', '#fjb', '#conservative', '#trump']"
7008169530778193157,"reubs_benny","",10.865,55200,4229,"original sound - Johnathan Dodson","['#justforfun', '#dwight', '#dwightschrute', '#jimhalpert', '#theoffice', '#alliance', '#unvaccinated', '#christian']"
7050237034103065902,"eandkvibe","Current rules as of today. 💕 enjoy.",25.632,51100,77,"Drive and Disconnect - Nao","['#travel', '#travelideas', '#unvaccinated', '#unvaccinatedtravel', '#foryoupage', '#travelduringcovid', '#travelduringpandemic']"
7011239831254600965,"holyshnikesitsbobby","Honestly could care less whether you’re vaxxed or not. I tested negative for Covid 42 times",9.541,50700,1272,"TomMacdonald.BestRapperEver - XXO","['#unvaccinated', '#staybeefycrew']"
6970144235282648326,"raptorpeter","only leftist commie vaccinated cowards keep their banking information private",6.268,49800,475,"SCREW ANTIVAXXERS AND GET YOUR VACCINE - 😋","['#thehungergames', '#unvaccinated', '#unvacinatedandproud', '#america']"
7056170454469430533,"redpill.north","",22.964,48100,1382,"original sound - red pill","['#uk', '#ukvaccines', '#vaccinemandate', '#covidmask', '#covid19', '#canadalockdown', '#unvaccinated', '#freedom', '#conservative', '#ppc']"
7038451347519409454,"miss_rizzo","List of travels for the unvaccinated.",12.908,46800,1887,"Do It To It - ACRAZE","['#traveltok', '#unvaccinated', '#unvaccinatedlivesmatter', '#wheretotravel', '#travel']"
7054118691746729243,"mananap___","",62.323,46600,2428,"original sound - msm - IKING","['#unvaccinated', '#lawofpower', '#covid19']"
7024540265759198470,"annmariepaton","",73.837,46500,4205,"original sound - AnnMarie Paton","['#booster', '#vaccinated', '#unvaccinated', '#sisterlylove', '#fyp']"
7024425934644202798,"alina_vanvoorst","",11.84,44900,2621,"harley is sexy - ki1","['#unvaccinated', '#fresh', '#clean', '#unvaxed']"
6990964184095657221,"marinascarlettgal","I can no longer work in the career I studied hard for due to a jab that doesn’t work",57.142,43500,9630,"original sound - Marina Scarlett","['#wrongfultermination', '#unvaccinated', '#rda', '#dental', '#healthcare']"
6992225438189817094,"carime.paige","with",54.147,42000,588,"original sound - Tik Toker","['#duet', '@keri_alison4', '#unmasked', '#unmuzzled', '#unvaccinated', '#unafraid', '#MakingTheCut', '#GetYourJeansOn', '#isaidwhatisaid']"
7023955306640166191,"notyourtypicalcaligirl","LETS GO BRANDON",32.134,41500,854,"ROCKSTAR - DaBaby, Roddy Ricch","['#LETSGOBRANDON', '#INnOut', '#vaccinated', '#unvaccinated', '#freedomofchoice', '#freedom']"
7043945604099149061,"lil_brokey","🤯",78.458,41200,4421,"original sound - Lil_brokey","['#unvaccinated', '#maga', '#biden', '#bidensux', '#impeachbiden', '#unite', '#unvaccinated', '#trump', '#freedom', '#makeabunchhappen', '#wakeup', '#fjb', '#letsgobrandon', '#fyp', '#fypシ']"
7060630513739943214,"truckerginger1776","",46.276,40300,2164,"Convoy - The Hit Crew","['#unvaccinated', '#patriotproud1776', '#fuckjoebiden', '#americaproud', '#Americafirst', '#trump2024', '#shutdown3122', '#usa_tiktok']"
6985929893225696518,"fierymasala","Why are the",30.439,36700,1995,"original sound - Fierymasala","['#vaccinated', '#unvaccinated']"
6989990965947813125,"patriot_lyndz","WE ARE HERE ♥️🇺🇸♥️",15.183,36200,1606,"original sound - Prs Joshi","['#unvaccinated', '#unmasked', '#conservative', '#covid19', '#LiveFlowSweatDuet']"
7020527259823951105,"pippi_xx5","",11.702,34800,1492,"original sound - Pippi💋","['#unvaccinated', '#caffineaddict', '#grablifebytheballs']"
7045378259059608837,"stizz07","",10.075,34700,7251,"Blinding Lights - Loi","['#2022', '#unvaccinated', '#alberta', '#edmonton']"
6967839112808189190,"smooth_baby","I been feeling weird lately so I’m not sure anyone else feeling this feeling a way ?????",15.23,34700,4403,"original sound - Tashelle.kendall","['#tictok', '#unvaccinated']"
7008291930312314118,"cprtattoos","For your own protection, don’t try me",7.173,34600,585,"original sound - missblueeyes89","['#cprtattoos', '#houston', '#texas', '#tattooed', '#inked', '#protectmydaughter', '#donttryme', '#unvaccinated']"
7008959438669335814,"abigail___rose","Seriously 😂",7.265,34400,1027,"original sound - alexandra.bellairs","['#foryou', '#covid19', '#getvaccinated', '#vaccinated', '#unvaccinated', '#smalltownalberta', '#alberta']"
6994617841156640006,"tythefisch","",25.702,33000,1278,"original sound - Tyler Fischer","['#cdc', '#unvaccinated', '#vaccine', '#vaccinated', '#getvacinated', '#hilariois', '#comedy', '#mexico', '#usborder', '#usa', '#covid', '#corona', '#america', '#politics', '#democrat', '#nyc']"
7061098450611490049,"hyperiondrive","",16.044,32400,1752,"original sound - aShes2aShes duSt2duSt","['#unvaccinated', '#vaccinated', '#nz', '#newzealand', '#jacindaardern', '#humor']"
7000038733160500486,"its_memelb","",153.482,31600,2640,"original sound - MBell","['#healthcare', '#healthcareworker', '#healthcarehumor', '#vaccine', '#unvaccinated', '#covid', '#fy', '#fypシ']"
