v_id,creator,desc,duration,likes,comments,sound,tags
7021278286709853487,"tythefisch","",49.061,515100,22000,"Life Goes On - Oliver Tree","['#walk', '#nyc', '#mexico', '#texas', '#immigration', '#immigrant', '#unvaxxed', '#mandates', '#comedy', '#southernborder', '#border', '#hilarious', '#biden', '#trump', '#borderwall', '#covid']"
7012392487415205125,"tythefisch","",34.735,202100,5338,"original sound - Tyler Fischer","['#unvaxxed', '#vaccine', '#covid', '#manbun', '#hilarious', '#comedy', '#comedian', '#woke', '#liberal', '#biden', '#australia', '#democrat', '#republican', '#novaccine', '#maskoff', '#mandate']"
6991943694173719814,"bobby._.j","No the fuck we don't!!!",15.58,371500,6877,"original sound - Bobby Japart","['#funnymoments', '#trumptrain', '#Trump', '#unvaxxed', '#haha']"
7035153020853832961,"tightarsetuesday","🍆 + 🙅🏻‍♂️💉 = 💲😎💰",6.592,131100,4078,"Sounds Of Then (This Is Australia) - GANGgajang","['#MelbourneProtest', '#Part2', '#BitCoin', '#Unvaxxed', '#SackDanAndrews', '#EndTheMandates', '#PowerToThePeople', '#Funny', '#FYP', '#Straya', '#Australia']"
7030908412221230342,"tythefisch","",58.86,98600,6693,"original sound - Tyler Fischer","['#cnn', '#donlemon', '#chriscuomo', '#impression', '#comedy', '#vaccine', '#hilarious', '#covid', '#unvaxxed', '#getvaccinated', '#vaccinated', '#foxnews', '#joerogan', '@joeroganpodcast']"
6995688716635262214,"smokymountaincures","Strong Antiviral Immune Boosting Cough Syrup ⛰🔥",86.656,92500,1126,"original sound - smokymountaincures","['#natural', '#covid19', '#vaccine', '#cures', '#remedy', '#diy', '#witchtips', '#unvaxxed', '#fyp']"
7002343932688387334,"jayramsey","August 31 shutdown!!!",27.42,64300,3055,"original sound - Jay Ramsey","['#truckerlife', '#unvax', '#unvaxxed', '#nomask', '#fypシ', '#fyp']"
7002744071487900933,"ciarabarksdale22","I’m officially homeschooling! 💙",22.567,60700,2627,"son original - isaac.syl","['#homeschool', '#MYkid', '#venom', '#christiantiktok', '#Jesus', '#unmasked', '#unvaxxed']"
7020951986820435226,"rohanbhuiyan4","vital💯",6.524,56900,104,"original sound - Janey Queen👸","['#unfreezemyaccount', '#unvaxxed', '#foryou']"
7001198053633854726,"backwoodsbarbie_06","",15.185,47800,1813,"God We Need You Now - Struggle Jennings & Caitlynne Curtis","['#unvaxxed', '#unmasked', '#fypage', '#fypシ', '#MicroRaveWithRoni', '#MyTeacherWins', '#trending', '#ChewyChattyPets', '#CODAduets', '#JifRapChallenge']"
7018921287594609926,"jamiecourtoriell","",15.183,39300,2686,"original sound - Prs Joshi","['#unvax', '#unvaxxed']"
7019864721818012934,"truerambler","",60.787,36200,2742,"Night Trouble - Petit Biscuit","['#fypシ゚viral', '#foru', '#4u', '#joerogan', '#podcast', '#jre', '#joerogan', '#comedian', '#vaccine', '#vaxxed', '#unvaxxed', '#jreclips', '#medicalassistant', '#denied', '#america', '#scarytimes']"
7049676605731507458,"jermaineschmidt","",5.431,34600,371,"apple pay w brittany laugh - requiem for a meme","['#faceid', '#djockovic', '#xyzbca', '#xycba', '#unvaxxed']"
7044612279555329326,"tythefisch","",59.696,33500,1812,"original sound - Tyler Fischer","['#unvaxxed', '#vaxx', '#vaccinated', '#comedy', '#fauci', '#shame', '#woke', '#blm', '#blacklivesmatter', '#cis', '#feminism', '#hilarious', '#impression', '#comedian', '#lib', '#libsoftiktok', '#l']"
7001478997511048454,"daddydrewpie","with",13.837,33400,2158,"original sound - Drew Perkins","['#stitch', '@thehighestfive', '#vax', '#unvaxxed', '#covid', '#biden', '#trump', '#itsallpolitics', '#foryoupage', '#fypシ']"
7051361276764720431,"mdg650hawk4.0","Reply to",15.207,33200,1666,"original sound - mdg650hawk4.0","['@memeshortz2.0', '#fyp', '#covid', '#omicron', '#vaccines', '#vaxxed', '#unvaxxed', '#plaguerat', '#spreadnecks', '#douche', '#fart', '#elevator', '#elevatorfart']"
7026718813831826693,"k_perna","When I comes to my child, I’m not taking any chances. 😠",58.071,31100,2362,"original sound - Kendra","['#vaccine', '#vax', '#unvaxxed', '#covid', '#conservative', '#protectthechildren']"
7007875010677198086,"britta_nicole1","EXCELLENT",10.238,30800,0,"original sound - Jinny","['#fyp', '#unvaxxed', '#nojabforme', '#formanalliancewithme', '#foryoupage', '#america', '#letsbefriends']"
7021611792346516742,"sporesofchaos","The video I share in this is so important for you to watch.",115.354,29000,1388,"original sound - Grant Lewis","['#republican', '#democrat', '#liberal', '#conservative', '#globalagenda', '#christian', '#prophecy', '#crypto', '#vaccine', '#unvaxxed', '#vaccinated']"
7020766672902556933,"amyliaaaaaa6","Part 1. Now looking for my soul tribe❤️Comment below if you are against the Vaxx pass🙏🏻",56.77,27800,4043,"Stargazing - Official Sound Studio","['#unvaccinated', '#unvaxxed', '#unvaxxedlivesmatter', '#liberty', '#fypp']"
6997854868111150342,"smokymountaincures","NATURAL QUNINE FOR BATTLING FLUS! Last for 2weeks in Fridge! Easy & Cheap!",20.177,27400,603,"Home (Option 1 - The Young Ebenezers","['#flu', '#colds', '#unvaxxed', '#vaccine', '#diy', '#momsoftiktok', '#covid19']"
7011267557067869446,"evita.mcl","Sound by🎤",42.12,27100,1005,"original sound - Tyler Fischer","['@tythefisch', '#comedy', '#unvaxxed', '#unvaxxedlivesmatter', '#fypシ']"
6996373629827206406,"officialcoachcuvie","God Bless the USA!",8.171,26500,327,"original sound - p","['#unvaxxed', '#PerfectMarcJacobs', '#StyleSnap', '#theydontcare', '#hate', '#conservative', '#america', '#freedom', '#fypシ', '#foryou']"
7052476216095329583,"rachelmarduk","",27.608,24200,1151,"original sound - RachelMarduk","['#foryoupage', '#fyp', '#boostofhope', '#unvaccinated', '#unvaxxed', '#2022', '#purebloods', '#virus', '#favemask', '#facemask', '#infected', '#getvaccinated', '#getvaccinatedcovid19']"
7004518874964151557,"rootedbutflowing","Where y’all at?",6.267,22200,1637,"SCREW ANTIVAXXERS AND GET YOUR VACCINE - 😋","['#trumptrain', '#unvaxxed']"
7062693049612176687,"pamaditus1","",15.207,20300,1793,"nhạc nền - AK乂Duty","['#smallfringeminority', '#truckersoftiktok', '#letsgobrandon', '#unvaxxed', '#fredomconvoy', '#nojabforme', '#nojabnojob']"
7054276144236924207,"lenibuchicchio","No pity needed",11.307,20200,641,"Extermination - Upon A Burning Body","['#unvaccinated', '#fyp', '#comedy', '#unvaccinated', '#GEICOGiveHappy', '#unvaxxed', '#teamnovaccine', '#covid19vaccine', '#conservativetiktok', '#medicalfreedom']"
7017510605405834502,"that_one_mama","",7.614,17800,609,"full agenda - luxxwolf","['#unvaxxed', '#republican', '#patriot', '#conservative', '#funny', '#jokes', '#lol', '#conservativelivinginaliberalstate', '#merica🇺🇸', '#OneSliceChallenge', '#fyp', '#foryou']"
7011142986406841605,"j_loading24","",16.67,17400,2408,"Spongebob Tomfoolery - Dante9k Remix - David Snell","['#wtf', '#lawrdhavemercy', '#smh', '#unvaxxed', '#lol', '#darkhumour', '#comedy', '#rant', '#relatable', '#nottoday']"
7015355093109198086,"giggyfromtheblock","The",25.075,15900,2631,"original sound - Egigs84","['#controlfreak', '#trustissues', '#covid19', '#vax', '#unvaxxed', '#freedom', '#flu', '#integrity', '#SoFiMoneyMoves']"
