v_id,creator,desc,duration,likes,comments,sound,tags
7047136114435493121,"europa_beauty_","",65.038,8446,1036,"original sound - EuropeanBeauty","['#slavic', '#whitepeoplethings', '#beautiful', '#traditional', '#europa', '#europeforeuropean', '#fypシ', '#fyp', '#europeanbeauty', '#whitepeoplebelike', '#whiteculture', '#longhair']"
7037938645839433007,"linalimova","Comment your fav",10.098,14100,224,"original sound - Lina 🤍💙🤍","['#fypdoesntwork', '#baltics', '#easterneuropean', '#europeanculture', '#fyp', '#viralvideo', '#traditionalclothes', '#vs', '#europe', '#edit', '#europeforeuropean']"
7047490576656190721,"europa_beauty_","",9.914,5951,559,"original sound - EuropeanBeauty","['#whitepeoplethings', '#beautiful', '#norway', '#foryoupage', '#fyp', '#europeforeuropean', '#traditional', '#europeanbeauty', '#fypシ', '#europa', '#europeforeuropean', '#whiteculture']"
7034658354987339055,"linalimova","Most of these paintings were painted by Boleslaw Von Szankowski 🇵🇱",12.351,11700,135,"original sound - Lina 🤍💙🤍","['#fypdoesntwork', '#poland', '#easterneuropean', '#fyp', '#slavicwomen', '#europeforeuropean', '#vs']"
7020560391684066566,"linalimova","Spanish Culure 🇪🇸",13.396,5412,794,"original sound - Lina 🤍💙🤍","['#fypdoesntwork', '#europe', '#europeanculture', '#spanish', '#spanishculture', '#europeforeuropean', '#spain', '#virall', '#vs', '#viralvideo', '#whitepeople']"
7064709064185548078,"linalimova","Greece 🇬🇷🏛",15.207,2569,158,"original sound - Lina 🤍💙🤍","['#fypdoesntwork', '#greece', '#greektiktok', '#balkan', '#southerneurope', '#europeanculture', '#european', '#culture', '#vs', '#aesthetic', '#tt', '#europeforeuropean']"
7047062905837178114,"europa_beauty_","",180.163,1041,65,"original sound - EuropeanBeauty","['#whitepeoplethings', '#whitepeople', '#beautiful', '#traditional', '#europa', '#europeforeuropean', '#fypシ', '#fyp', '#whiteculture', '#europeanbeauty', '#whitepeoplebelike']"
7047486262445493506,"europa_beauty_","#",180.163,505,96,"Infinity - Jaymes Young","['#whiteculture', '#latvians', '#fypシ', '#european', '#foryoupage', '#europa', '#europeanbeauty', '#fyp', '#traditional', '#europeforeuropean', '#beautiful', '#whitepeoplethings']"
7052376083441831214,"linalimova","Mine would be 1",11.375,653,50,"original sound - Lina 🤍💙🤍","['#fypdoesntwork', '#germancastles', '#germany', '#europe', '#europeanarchitecture', '#tiktok', '#castles', '#europeancastles', '#fyp', '#europeforeuropean']"
7058423994751454469,"british.nationalistv1","",31.275,292,129,"original sound - Gadaffi Apologist 🗿","['#CloseYourRings', '#conservativepilled', '#britishcapitalist', '#paleolibpilled', '#HowDoYouHUGO', '#christianity', '#transgenderism', '#athiesm', '#degeneracy', '#europeforeuropean', '#fy']"
