v_id,creator,desc,duration,likes,comments,sound,tags
6988598810972867846,"spiritrvr","This is what",17.088,146900,0,"original sound - RiverSpirit","['#eviction', '#rentstrike', '#mutualaid', '#bushwick', '#brooklyn', '#gentrifiers', '#fascist', '#policestate']"
6853111122426416389,"tesseatstherich","Crazy how google is free😊",15.115,113100,2445,"ARIES - Water Spirit","['#socialism', '#fascist', '#US', '#communism']"
6847617247838489862,"worldtownworld","",20.063,91300,1093,"original sound - Chaz Cardigan","['#fascist', '#liberationsummer', '#BlackLivesMattter', '#taxes', '#military', '#amerikkka', '#fyp']"
7011427954496457990,"h3ntay_man","da vedere tutto",12.77,57300,1508,"suono originale - Raul Cesari","['#neiperte', '#perte', '#blackumor', '#funnyy', '#fascist', '#funny']"
7051466343551339822,"thedownballot.org","the middle ground is still too close to fascism 😵‍💫",12.583,52400,2266,"original sound - Ethan Garland","['#centrist', '#centrism', '#centristslander', '#leftist', '#fascist', '#rightwing', '#leftwing', '#moderate', '#fyp']"
6862490884815080710,"dashanator_k","Belarus is being cut off from the internet and mobile networks so please spread awareness.",59.119,38200,697,"original sound - Dasha Klyuchareva","['#Belarus', '#belarusnews', '#protests', '#protest2020', '#fascist']"
7069138118393466158,"laurenpcrna","thinks America’s founding principles are pathetic and weak.",59.812,38200,676,"original sound - Lauren P CRNA","['#FoxNews', '#Freedom', '#Patriot', '#Putin', '#Fascist', '#Dictator']"
6952153964909579525,"lindseycherekwaller","",58.674,35600,823,"deja vu - Olivia Rodrigo","['#ftp', '#acab', '#fascist', '#nojusticenopeace']"
7021786295433170178,"anthony.locash","",140.084,30000,167,"original sound - Anthony Locascio","['#standupcomedy', '#standup', '#comedy', '#comedian', '#fascist', '#datingadvice', '#datingtips', '#tindertok', '#italiancheck', '#italianhumour', '#italiano']"
6855056795396787461,"_freezepeach_","",31.1,29400,220,"original sound - Skippy","['#politics', '#philosophy', '#trolleyproblem', '#conservative', '#liberal', '#fascist', '#leftist']"
7042978629172710662,"calvinrobinhood","",31.043,22100,1353,"original sound - Calvin Robinson","['#covid', '#freedom', '#fascist']"
7077514107313818885,"willhislop","Right-wing vloggers",124.044,21000,203,"original sound - Will Hislop","['#rightwing', '#vloggers', '#vlogging', '#vlogger', '#vlog', '#vlogs', '#vlogsquad', '#triggered', '#PCbrigade', '#BBCbias', '#fascist', '#snowflakes', '#antiPC', '#comedyvideo', '#comedy']"
7077191229796060458,"lipblunt","https://www.mintpressnews.com/can-someone-be-too-smart-to-be-a-cop/192106/",13.419,18500,350,"Wii Shop Channel - McTweet","['#police', '#weewntbetter', '#usa', '#blm', '#acab', '#1312', '#solidaridad', '#capitalism', '#stupid', '#war', '#law', '#fed', '#blacklivesmatter', '#corruption', '#politics', '#history', '#fascist', '#exposed', '#ftp', '#bluelivesdontexisit', '#bluelivesmatter', '#court', '#policestate', '#cops', '#copsoftiktok', '#prison', '#prisontiktok', '#prisontok', '#✊🏿✊🏾✊🏽✊🏼✊🏻']"
6988171360937807109,"tovarish.lazarov","",59.812,18300,411,"Astronaut In The Ocean - Masked Wolf","['#🇧🇬', '#balkan', '#slav', '#easterneurope', '#history', '#politics', '#traditionalist', '#fascist', '#conservative', '#88', '#bulgarian']"
6987498730358328582,"spiritrvr","Let the",24.286,17800,0,"original sound - RiverSpirit","['#evictions', '#fascist', '#policestate', '#anticapitalism', '#rentstrike', '#brooklyn', '#anarchism']"
7037245467159416111,"theamericanmoderate","with",57.654,17400,1571,"original sound - The American Moderate","['#stitch', '@north_omaha_cat_lady', '#fascism', '#germany', '#gopisdead', '#covid19', '#vaccine', '#fyp', '#antivaxxer', '#fascist', '#republicans']"
6910173100822826246,"polivicks","this is why u must be FAR CENTER 🗣🗣",8.148,34000,1195,"Chill out for a minute - 🇼🇸","['#based', '#satire', '#marxist', '#communism', '#leftist', '#fascist', '#liberal', '#conservative', '#socialist', '#centrist', '#politics']"
7084967538487987461,"libyan_nationalist","",12.304,15200,608,"original sound - Libyan nationalist 🇱🇾","['#arab', '#nationalism', '#nationalist', '#fascism', '#fascist', '#middleeast', '#CapCut', '#fyp', '#islam', '#hijab', '#war', '#edit', '#arabian', '#caliphate', '#allah', '#freepalestine', '#egypt', '#sunni', '#based', '#meme', '#fypシ', '#islamic', '#arabtiktok', '#jordan', '#syria', '#iraq', '#saudiaarabia', '#zionist', '#isreal', '#jew', '#jewish', '#antisemitic', '#bruh', '#hamas', '#tiktok', '#animated', '#animation', '#arabs', '#isrealterorrist', '#middleeastern', '#lol', '#minecraft', '#muslim', '#muslimtiktok', '#muslims', '#lgbt', '#lgbtqia', '#lebanon', '#afghanistan', '#taliban', '#ukraine', '#russia', '#putin', '#shia', '#war']"
7025509041183018245,"transenoma","",8.219,14300,459,"At Doom's Gate - Mick Gordon","['#based', '#foryou', '#siegemask', '#ww2', '#fascist']"
6977387321842814213,"iwanedwards","Same energy😂",39.03,13500,480,"original sound - Iwan Edwards","['#onebritainonenation', '#song', '#school', '#kids', '#student', '#fascist', '#uk', '#british', '#joke', '#memes', '#fyp', '#foryou', '#foryoupage', '#horriblehistories', '#lmao']"
6888091940718464262,"badratttt","tag yourself",22.779,11300,138,"original sound - avi","['#fyp', '#birds', '#funny', '#finds', '#fascist', '#chaos']"
7046070490603064582,"smalls2672","Reply to",179.443,9783,1213,"original sound - smalls2672","['@officialrcsjr', '#fyp', '#maga', '#trump', '#biden', '#republican', '#democrat', '#conservative', '#liberal', '#fascist', '#politics']"
6949891126341946629,"wontbesilent","",56.143,9391,562,"original sound - Abe Gurko Won’t Be Silent","['#greenscreen', '#trump', '#mitchmcconnell', '#loser', '#sonofabitch', '#maralago', '#gop', '#coffin', '#fascist', '#wontbesilent', '#foryou', '#fyp', '#foryoupage', '#algorithm']"
7002626498968571142,"tabel_politics","",33.411,8712,345,"original sound - tabel_politics","['#greenscreenvideo', '#greenscreen', '#politics', '#leftist', '#fascist', '#pennsylvania', '#trumpist', '#trump', '#covid']"
6891344789644627205,"tecarcana","Critical thinking time",59.815,8583,207,"original sound - Texarcana","['#theory', '#socialism', '#fascist', '#marxist', '#bernie', '#republicanconservative', '#democratsoftiktok', '#liberalcorner', '#maga', '#trump', '#maggot']"
6893622969990483205,"truthseed","",59.075,8574,1274,"original sound - Rez","['#treason', '#mikepompeo', '#ethics', '#biden', '#Fascist', '#enemyofthestate']"
7085098481659972869,"libyan_nationalist","",12.397,8399,351,"original sound - Libyan nationalist 🇱🇾","['#arab', '#nationalism', '#nationalist', '#fascism', '#fascist', '#middleeast', '#CapCut', '#fyp', '#islam', '#hijab', '#war', '#edit', '#arabian', '#caliphate', '#allah', '#freepalestine', '#egypt', '#sunni', '#based', '#meme', '#fypシ', '#islamic', '#arabtiktok', '#jordan', '#syria', '#iraq', '#saudiaarabia', '#zionist', '#isreal', '#jew', '#jewish', '#antisemitic', '#bruh', '#hamas', '#tiktok', '#animated', '#animation', '#arabs', '#isrealterorrist', '#middleeastern', '#lol', '#minecraft', '#muslim', '#muslimtiktok', '#muslims', '#lgbt', '#lgbtqia', '#lebanon', '#afghanistan', '#taliban', '#ukraine', '#russia', '#putin', '#shia', '#war']"
7070213453880757546,"duck_dadof3","Why is the far right called",179.883,7757,863,"original sound - DUCK_Dadof3","['#fascist', '#fascism', '#maga', '#trump', '#trump2024', '#AmericaFirst', '#republican', '#donttreadonme', '#2a']"
7019411077029039365,"antiright","",15.067,7214,1825,"Acid Rain - Lorn","['#leftist', '#socialism', '#communism', '#centrist', '#fascist', '#conservative', '#politics', '#MakeItCinematic', '#republican', '#democrat', '#fyp', '#capitalism', '#fypシ', '#xyzbca', '#fy']"
7081693087680023813,"antifaviral","",175.774,7096,196,"sonido original - Antifa Viral","['#CiudadJuarez', '#Apm', '#ApmTv3', '#IsmaJuarez', '#Voxmitivo', '#Fatxa', '#Fascist', '#antifascistas', '#Tendencia', '#FYP', '#ParaTi', '#Trendy', '#Viral', '#BEYOURSELFLEFTIES']"
6891822533184703749,"shannonsmith3239","",59.096,6610,570,"original sound - Shannon Smith","['#fascist', '#looneytunes', '#cuckoo', '#mortifying', '#election', '#byedon', '#yourefired', '#fu', '#wacko', '#MyRecommendation']"
7064105452883217670,"mubspeaks","",179.907,6554,629,"original sound - Mubs","['#india', '#hijab', '#muslims', '#education', '#womensrights', '#saffron', '#hindu', '#christian', '#fascist', '#injustice', '#discrimination']"
6958278200233413894,"kerricklong","with",59.232,6365,254,"original sound - Kerrick","['#stitch', '@megdaw9', '#leftist', '#rightwing', '#fascist', '#antifa', '#authoritarian', '#liberty', '#politics', '#fyp', '#foryou']"
7074755986531126571,"drewbiedoobydooo","",15.185,5812,850,"Welcome To Duloc - Hope Levy & Jill Bogard","['#fascist', '#donaldtrumpisafascist', '#civilwar', '#biden', '#democrats', '#anarchists', '#communists', '#capitalism', '#trump', '#conservative', '#liberal']"
7083953382259559722,"senatortonyc","with",39.89,5462,768,"original sound - FRC","['#stitch', '@sgtsjsrq', '#florida', '#full', '#democrat', '#liberal', '#takingover', '#republican', '#trump', '#fascist', '#russia', '#dontsaygaybill', '#conservative', '#neanderthal']"
7079488669211446533,"generalissimo_pinochet","Being elected doesn’t make you legitimate 😎😎",11.863,5138,201,"original sound - General Pinochet","['#politics', '#communism', '#socialism', '#fascist', '#democrat', '#republican', '#conservative', '#politicalmemes', '#franco', '#pinochet', '#ancap', '#libertarian', '#hoppean', '#anticomunismo', '#anticomunista']"
7053104074182446342,"shahakshapira","I’m rooting for him!",60.161,4871,15,"original sound - Shahak Shapira","['#PrayForBrendan', '#standup', '#standupcomedy', '#crowdwork', '#india', '#indian', '#dresden', '#afd', '#it', '#student', '#germany', '#fascist', '#racism', '#food', '#getout', '#maschinenbau', '#uni', '#university', '#berlin']"
6965969943401598213,"simple.politics__","FDR slander 😈",16.6,4774,834,"liverpool fans annoying af - فولو🌚💔","['#fascist', '#president', '#FDR', '#viral', '#trending', '#fyp', '#foryou', '#america', '#usa', '#famous', '#ww2', '#liberty', '#politics', '#🇺🇸']"
7074689472285412654,"real_talk_with_tom","",59.185,4770,307,"original sound - @real_talk_with_tom","['#trump', '#socialism', '#communism', '#fascist', '#putin', '#politics', '#tucker', '#fyp', '#fypシ', '#cruz', '#noblesenate24']"
7082438375826918702,"smalls2672","",154.574,4594,284,"original sound - smalls2672","['#greenscreenvideo', '@trapt0fficial', '#toiletfish', '#bottomofthebarrel', '#fascist']"
7025976078909050158,"killthemindvirus","",104.395,4470,238,"Tenedos - A Tale Of Memory - Andreas Katsigiannis","['#TheHarderTheyFall', '#politics', '#leftist', '#anarchist', '#anarchy', '#fascism', '#fascist', '#mindconrol', '#greatreset', '#russellbrand', '#freedom', '#letsgobrandon', '#fjb', '#unitehumanity', '#youredone']"
6924491092968656133,"littlebasingse","gone but never forgotten...",8.589,4263,118,"original sound - TheTrumpTrain!","['#legendofkorra', '#atla', '#kuvira', '#fascist']"
7067666109197077765,"fascistserb","What is happening to the world..?",15.022,4173,593,"original sound - Serbian Fascist","['#military', '#fyp', '#based', '#orthodox', '#serbia', '#viral', '#fypシ', '#niger', '#fascist', '#greece', '#illyria🇷🇸', '#romania', '#russia']"
7078988621906365742,"doctor_curiosity","",175.54,3896,305,"original sound - Doctor Curiosity","['#russia', '#ukraine', '#autocracy', '#autocracyisdictatorship', '#kleptocracy', '#communism', '#fascist', '#fyp']"
6895020183283322118,"riodecielo","Happening now in DC. 🍊🤡",59.024,63800,5739,"Spongebob Tomfoolery - Dante9k Remix - David Snell","['#Trumprally', '#rally', '#WeekendVibes', '#JUSTDANCEMOVES', '#fascist', '#fascists', '#nationalist', '#trump', '#trump2020', '#biden2020', '#blacklives']"
7064974414890437934,"starwarsfenatic","",21.756,3474,342,"original sound - star wars fenatic","['#greenscreen', '#fascism', '#fascist', '#Canada', '#trump', '#biden', '#liberal', '#democrat', '#conservative', '#republican', '#libertarian', '#Maga', '#trudeau']"
6905893224234241285,"tizzyent","Reply to",58.071,3416,137,"Communism - David Lagettie","['@theragingfascist', '#fascist', '#antifa', '#antifascist', '#racism', '#doitforthebeard']"
6917605801863449861,"chasingoz","with",59.162,3248,139,"original sound - Chasing Oz","['#Duet', '@brenna.brownnn2', '#education', '#censorship', '#factsmatter', '#ww2', '#holocaust', '#fyp', '#foryou', '#foryoupage', '#americaneducation', '#fascist', '#fascism', '#Educate']"
7080209230132792622,"therealtlc5","with",39.518,3226,596,"original sound - News, Comedy, and Memes","['#duet', '@donald_newshd', '#hillaryclinton', '#democrat', '#democracy', '#fascist', '#trumplost', '#voteblue2022💙']"
7073520913999793454,"dollemore","",59.557,3225,108,"original sound - Jesse Dollemore","['#DollemoreDaily', '#fascist', '#fyp', '#fypage', '#Democrat', '#democratsoftiktok', '#political', '#politicaltiktok', '#Republican', '#MAGA', '#insurrection', '#january6', '#DonaldTrump']"
