v_id,creator,desc,duration,likes,comments,sound,tags
7047666620109557038,"aprilajoy","Last one of the year",50.502,502900,10800,"original sound - April Ajoy","['#christian', '#nationalism', '#cult45', '#politicalhumor', '#facebook', '#evangelicalish', '#exvangelical', '#holidays', '#pagan', '#happynewyear', '#2022']"
7058446848532696366,"aprilajoy","Very confused on the Garfield one",49.574,208800,2335,"original sound - April Ajoy","['#encanto', '#facebook', '#bruno', '#christian', '#christianhumor', '#exvangelical', '#evangelicalish', '#nationalism', '#christiancomedy']"
6977787928944626949,"aprilajoy","Dumbo😭",22.197,177600,4726,"original sound - April Ajoy","['#trump', '#flag', '#americanflag', '#usa', '#cult45', '#kidssaythedarnestthings', '#christian', '#exvangelical', '#nationalism', '#evangelicalish', '#politics', '#djt', '#trumpers']"
7039544404092275974,"aprilajoy","Put Christ Back in Christian",51.965,147800,2460,"original sound - April Ajoy","['#christian', '#christmas', '#cult45', '#nationalism', '#facebook', '#exvangelical', '#evangelicalish', '#christiancringe', '#greenscreen']"
7084241627002178821,"gzoofoo","Engluuund",14.557,78300,2124,"Three Lions - Baddiel, Skinner & Lightning Seeds","['#meme', '#memestiktok', '#minecraft', '#johny7300', '#imperialism', '#britishempire', '#leftist', '#england', '#mc', '#bedrockedition', '#mcyt', '#mrbeast', '#technoblade', '#mctt', '#minecraftmemes', '#fyp', '#nationalism', '#GameTok']"
7073311270757354794,"aprilajoy","reminder- I do not agree w these posts",55.123,72500,1224,"original sound - April Ajoy","['#christian', '#facebookpost', '#nationalism', '#politics', '#cult45', '#christianhumor', '#exvangelical', '#evangelicalish', '#rapture']"
7043012112465120517,"polskanajlepszykraj","",18.69,54500,3084,"Song by Miyagi and Andy Panda Kosandra - Leppaboy","['#fypシ', '#fyp', '#fy', '#poland', '#Godisking', '#Jesusisking', '#nationalism']"
6942624437481000197,"aprilajoy","Jesus is awesome.his followers tho🤡",13.142,52000,2539,"original sound - April Ajoy","['#deconstruction', '#christian', '#nationalism', '#cult45', '#christiantok', '#exvangelical', '#toxicchristianity', '#lovegodlovepeople']"
6898002224237006085,"leftistlivi","",59.163,47800,2514,"original sound - Liv","['#usa', '#america', '#politics', '#nationalism', '#leftist', '#liberal', '#conservative', '#republican', '#democrat', '#NeedToKnow', '#WhenWeWereYounger', '#PajamaJam']"
6949667847274646789,"aprilajoy","all are welcome* *jk#",38.219,46600,1601,"original sound - Big-Reg","['megachurch', 'church', 'christian', 'nationalism', 'youthpastor', 'christianhumor', 'christiantiktok', 'worshipteam', 'exvangelical', 'single']"
7011603546294504709,"eleftherios_memeselos","based cat",8.707,93100,1347,"original sound - Eleftherios Memezelos","['#🇬🇷', '#nationalism']"
7027526875505347845,"pastorfromok","Reply to",36.708,45600,2518,"original sound - Jeremy Coleman","['@vthompson83', '#pastorfromoklahoma', '#christiantiktok', '#exvangelical', '#evangelical', '#fyp', '#foryoupage', '#speakeasyproject', '#nationalism', '#liberal', '#conservative', '#trump', '#biden', '#maga']"
7068412468556778798,"aprilajoy","😳what the actual! GOP has lost it. my heart is w Ukraine🙏💔",50.224,40900,7327,"original sound - April Ajoy","['#endchristiannationalism', '#nationalism', '#ukraine', '#russiaukraine', '#gop', '#cult45', '#christian']"
7015727067211812102,"aprilajoy","Stop the Share",51.501,40400,1105,"original sound - April Ajoy","['#greenscreen', '#facebook', '#facebookdown', '#trollfarm', '#christian', '#nationalism', '#cult45', '#socialnews', '#exvangical']"
6854827247405190406,"cicciobono_03","Pt 2?",9.566,39100,1392,"courtneybuchanan6 sound - Professional shitposter","['#perte', '#foryou', '#4u', '#viral', '#catalunya', '#scotland', '#vlaanderen', '#bayern', '#nationalism', '#indipendentism', '#eu', '#politics', '#geopolitics', '#geography']"
6938969408912116998,"pastorfromok","",58.001,37700,1076,"original sound - Jeremy Coleman","['#pastorfromoklahoma', '#blacklivesmatter', '#equality', '#blm', '#christiantiktok', '#fyp', '#foryoupage', '#racisim', '#endracism', '#trump', '#biden', '#maga', '#nationalism']"
6847527172261858566,"ryryalt","Reply to",54.612,34800,1240,"original sound - Ryryalt","['@user9306387386395', '#fascism', '#nationalism', '#patriotism', '#USA', '#trump2020', '#voteblue', '#nasty', '#educate', '#nomaam', '#bye']"
7051271837111586053,"ion.dragos.horeaba","",57.329,32900,925,"Believe (Inspirational Background Music) - Fearless Motivation Instrumentals","['#romanian', '#Guvern', '#democratie', '#georgesimion', '#dianasosoaca', '#nationalism', '#libertate', '#romania🇷🇴', '#romani', '#romania', '@georgesimionoficial']"
6867597017066016006,"rcoveringhetero","like ur next on the mic joshua",5.967,30400,189,"original sound - theathletes","['#nationalism', '#fyp', '#foryoupage']"
7047557527168601391,"makeamericawalkable","",8.45,28900,4189,"TO THE MOON - Jnr Choi & Sam Tompkins","['#murica', '#patriot', '#europe', '#usa', '#europevsusa', '#nationalism', '#travel', '#passport', '#noborders', '#maga', '#portugal', '#studyabroad', '#usavseurope', '#european', '#american', '#eu']"
6966009442211007750,"dane.archangel","🇩🇰🇩🇰🇩🇰",15.23,28900,727,"Судно (Борис Рижий) - Molchat Doma","['#fyp', '#denmark❤️🇩🇰', '#northerneurope', '#nostaliga', '#childhood', '#nationalism']"
7026183871666605358,"pastorfromok","",36.058,25300,1058,"original sound - Jeremy Coleman","['#pastorfromoklahoma', '#TheHarderTheyFall', '#christiantiktok', '#evangelical', '#exvangelical', '#fyp', '#foryoupage', '#speakeasyproject', '#america', '#nationalism', '#christianity', '#mission']"
7048386893481774342,"chad_lirious1","Reply to",60.766,25000,2556,"Sztoj pa Moru (Slavic Trap) - OmegaSign","['@ashergarcia3', '#patriot', '#nationalism', '#freedom', '#EveryKiss', '#guncontrol']"
6944415000916200709,"aprilajoy","they're in so deep 😳",53.01,24800,828,"original sound - April Ajoy","['#cancelculture', '#franklingraham', '#pastor', '#christian', '#nationalism', '#covidvaccine', '#christiantok', '#cult45', '#trumpsupportersbelike']"
6880686010397641985,"tblizzy","",59.117,24300,2774,"original sound - Tyra Blizzard","['#greenscreenvideo', '#greenscreen', '#conspiracy', '#useducation', '#OhCanada', '#democracy', '#dictatorships', '#nationalism', '#xyzzba', '#fyp']"
