v_id,creator,desc,duration,likes,comments,sound,tags
7037597300784516357,"happylad3","White Guilt🇮🇪😜",30.276,210,20,"original sound - David Nihill Comedy","['#intheground', '#nowhiteguilt', '#irishhumour😅😅😜', '#🥔🇮🇪🥄🥕']"
7021203656615709957,"daki_nation_m","White guilt should not be a thing….",179.186,90,0,"original sound - Dakiddac Murray","['#like', '#comment', '#follow', '#fyp', '#tiktok', '#nowhiteguilt']"
7085402943817633067,"thedeadlighters","with",15.183,62,11,"Under Pressure - Remastered 2011 - Queen","['#stitch', '@valkyrieoftruths', '#nocrt', '#noindoctrination', '#nowhiteguilt', '#noracialdiscrimination', '#wedontneednoracialhatred']"
7084920501755268398,"wilhelmut01","",59.185,36,8,"Schnitter Tod (Deutsche Volkslieder) - Wiener Kammerchor","['#greenscreen', '#NoWhiteGuilt', '#CriticalRaceTheory', '#CRT', '#NoCriticalRaceTheory']"
7085402128449244462,"thedeadlighters","Citation provided they were primarily used for heinous murders rap3 and pet o files",20.176,20,0,"Heartless - Kanye West","['#nowhiteguilt', '#nowhitesupremacy', '#TurboTaxAndRelax', '#ByeByeSundayBlues']"
6950808665783897349,"skagzoola","",59.164,14,6,"original sound - user2591463369923","['#music', '#indy', '#poetry', '#writing', '#rock', '#folk', '#folkmusic', '#newmusic', '#newmusic2021', '#nowhiteguilt', '#WAC', '#health', '#wellness', '#whiteartcollective', '#independent']"
6935949672716520710,"dumas_walker","",10.168,10,0,"Whiteboy - Haystak","['#whiteboy', '#nowhiteguilt', '#screwcoke', '#stoptheinsanity', '#fyp']"
6954077478822399237,"pretty_little_soldier89","hmm..am I missing something? lol",58.397,9,7,"Check Your Privilege by Big Mamma - Big Mamma","['#fyp', '#WorthTheWait', '#mixed', '#momtok', '#checkyourprivilage', '#whiteprivilege', '#nowhiteguilt', '#blacksareraciststoo', '#endracism']"
7062075413400702254,"crucifiedpecker","",13.049,5,0,"original sound - Valhalla Bound","['#Truth', '#foryou', '#nowhiteguilt', '#nowhiteguilthere']"
7084533512262389034,"wilhelmut01","",59.185,5,1,"Peace Sells (But Who's Buying?) - Megadeth","['#greenscreen', '#NoWhiteGuilt']"
