v_id,creator,desc,duration,likes,comments,sound,tags
7080379314188897582,"thebullevans","THIS IS VERY REAL… BE READY! 😱",34.502,296200,7817,"original sound - The Bull","['#teslatok', '#socialmedia', '#electriccar', '#gov', '#esg', '#cbdc', '#thegreatreset', '#carsoftiktok', '#epicfails', '#SmellLikeIrishSpring', '#usa', '#freedomchallenge', '#government', '#tesla', '#bidenfails', '#ukriane', '#politics', '#elonmusk']"
6921405574374640901,"russellbrand","The Great Reset - what are your thoughts?",47.535,97100,2646,"original sound - Russell Brand","['#TheGreatReset', '#opinions', '#power']"
7050250744775232815,"stevoexperience","",49.108,75400,3204,"original sound - StevoExperience","['#Revolution', '#kazakhstan', '#fyp', '#thegreatreset']"
6997166784650448133,"sebastiansaldarriagas","",165.486,74900,3155,"original sound - Sebastian Saldarriaga","['#preparate', '#reseteomundial', '#reseteo', '#reseteoeconomico', '#monetarysystem', '#greatreset', '#xrp', '#spanglish', '#reset', '#thegreatreset', '#gooutside', '#fypシ', '#nuevoorden']"
7056829868495097134,"erynkellz","I really wish I was kidding tho.",8.937,60800,4334,"vibe for this year - joseph fagundes","['#conspiracyrealist', '#itscoming', '#thegreatreset', '#beastsystem', '#nwo', '#famine', '#blackouts', '#cyberpolygon', '#fy', '#fyp', '#foryou']"
7067620833862372654,"cdnpatriot2.0","1900s Architecture #",35.663,48800,3874,"original sound - Jolene","['makeitmakesense#', 'hegreatreset #', 'artaria #', 'artarianempire #', 'orldsfair #', 'howUsYourDrawers #', 'aiselChallenge']"
7054954776844389638,"sebastiansaldarriagas","",80.432,45900,2903,"original sound - Sebastian Saldarriaga","['#thegreatreset', '#reseteomundial', '#reseteoeconomico', '#pandemia', '#dinerointernet', '#cripto', '#nftscrypto', '#rich', '#money', '#luxury', '#millionaire', '#digitalart', '#grwm', '#fy']"
7031650635082714374,"the_great_reset_2021","",49.108,41900,1879,"origineel geluid - the_great_reset_2021","['#Thegreatreset']"
7056793296156314886,"ciaosasha","You guys enjoyed my bill gates video so much thought I’d do a Klaus Schwab one too 🤪",168.249,41000,2461,"Ambient(953492) - Enokido","['#wef', '#thegreatreset', '#worldeconomicforum', '#opinion']"
6959293693555789061,"negocializando","",50.803,29900,529,"Suspense, horror, piano and music box - takaya","['#thegreatreset', '#worldeconomicforum', '#davos', '#econômia', '#negócios', '#fy', '#fyp', '#foryoupage', '#foryou', '#viral']"
7081303625791720747,"erynkellz","They always tell us",12.211,26100,1727,"Suspense, horror, piano and music box - takaya","['#greenscreenvideo', '#madonna', '#iykyk', '#predictiveprograming', '#plandem', '#nwo', '#thegreatreset', '#foryou']"
6889756005165452549,"coachjv_","Its been happening slowly but surely!",59.117,24800,447,"original sound - Coach JV","['#thegreatreset', '#tellyourfamily', '#stayingormed', '#wealthtransfer', '#coachjv_']"
7003539625159560454,"sebastiansaldarriagas","",162.63,23600,831,"original sound - Sebastian Saldarriaga","['#preparate', '#reseteomundial', '#reseteo', '#reseteoeconomico', '#monetarysystem', '#greatreset', '#reset', '#thegreatreset', '#nuevoorden', '#remix', '#youdontknow', '#originstory']"
7051951365240671534,"erynkellz","I think we already knowwww",7.567,22900,1053,"original sound - bethannebrice","['#whatsgoingon', '#cyberpandemic', '#therealpandemic', '#thegreatreset', '#nwo', '#lastdays', '#endtimes', '#wakeup', '#fy', '#fyp']"
7033715934099475718,"kettneredelmetalle_de","Meinungsfreiheit verschwindet...",60.162,21000,1074,"Originalton - Kettner-Edelmetalle.de","['#darfichdasnochfragen', '#fürdich', '#foryoupage', '#thegreatreset']"
6991057308163820806,"the_hope_hustler","with",30.648,20500,823,"sonido original - Jovenes patriotas","['#duet', '@jovenes_patriotass', '#globalistagenda', '#communism', '#TheGreatReset', '#peoplearewakingup', '#comingsoontocanada', '#truth', '#perspective', '@ppc_2021']"
7051625832011418926,"erynkellz","Sounds like he knew too.",15.323,20200,1217,"Radioactive - Imagine Dragons","['#radioactive', '#iykyk', '#relevant', '#thegreatreset', '#nwo', '#depopulate', '#notaconspiracy', '#endtimes', '#jesusiscoming', '#fyp', '#foryou', '#fy']"
7015368921222008070,"sebastiansaldarriagas","",101.469,19700,800,"Stories 2 - Danilo Stankovic","['#preparate', '#reseteomundial', '#reseteo', '#reseteoeconomico', '#monetarysystem', '#greatreset', '#reset', '#thegreatreset', '#nuevoorden', '#remix', '#spanglish', '#123PandoraME']"
7069102268011924779,"erynkellz","Buckle up.",28.094,18700,1402,"feel something - bea miller - valen💿","['#iykyk', '#thegreatreset', '#nwo', '#beastsystem', '#itsallconnected', '#redpill', '#rabbithole', '#lastdays', '#endtimes', '#tribulation', '#fy', '#foryou']"
7075095400717307141,"muumbojumbo","They’re too far gone",8.496,18400,2211,"Crazy - Patsy Cline","['#conspiracies', '#tinfoilhat', '#freethinker', '#wef', '#msm', '#awakeningsouls', '#imcrazy', '#thegreatreset', '#redpill']"
7075791248459697451,"schlagle.bagel","If this is accurate, what does it mean?",41.307,17000,4277,"original sound - Schlagle.Bagel","['#gas', '#russiaukraine', '#wtf', '#usa', '#gasprices', '#joebiden', '#conspirancytheory', '#newworldorder', '#thegreatreset']"
7057969508270738734,"erynkellz","I’m just awaiting my fate at this point.",7.265,16700,1668,"Lost - Album Version - Frank Ocean","['#thegreatreset', '#nwo', '#beastsystem', '#ww3', '#cyberpolygon', '#projectbluebeam', '#apocolypse', '#5g', '#fy', '#fyp', '#foryou']"
7058630444308548911,"erynkellz","Any wild gue$$e$?",7.219,15300,2018,"original sound - RN.Lauren","['#billgates', '#billygates', '#gatesofhell', '#followthemoney', '#nwo', '#thegreatreset', '#beastsystem', '#fy', '#fyp']"
7027132236453448965,"j.t.odonnell","IS THE GREAT RESIGNATION AN AMERICAN THING?",177.864,14900,2394,"original sound - J.T. O'Donnell","['#thegreatreset', '#iquit', '#resignation', '#america', '#societystandards', '#timeforchange', '#careeradvice', '#careertiktok']"
7040615449393908998,"awakemother","",59.256,14700,671,"original sound - Jimmy Levy","['#selfsustainable', '#thegreatreset', '#unitetogetherforallhumanity', '#unvaxed', '#evolution', '#thegreatresetplan', '#letsgobrandon', '#wakeupnow', '#joinme', '#awakeningsouls', '#notrannys', '#spirituality', '#planningabetterfuture', '#darkwinter', '#goals', '#meditation', '#livesustainably']"
7052109446012783918,"erynkellz","It’s here.",16.205,14500,2135,"I Got 5 On It - Tethered Mix from US - Michael Abels & Luniz","['#tribulation', '#revelations', '#nwo', '#thegreatreset', '#beastsystem', '#markofthebeast', '#christiantiktok', '#conspiracytiktok', '#jesusiscoming', '#fyp', '#fypage']"
7016525719832399110,"sebastiansaldarriagas","",177.305,14200,699,"BARELY BREATHING - Grant Averill","['#reseteomundial', '#reseteoeconomico', '#nuevoordenmundial', '#socialismo', '#thegreatreset', '#monetarysystem', '#youdontknow', '#originstory', '#fypシ']"
6908038648709532934,"jarenbalian","War???",22.01,13600,511,"Ameno hatsune miku - Hybrid theorist","['#war', '#getready', '#thegreatreset', '#military', '#ww3', '#follow', '#share', '#viral', '#2021']"
7074383878026317062,"helena_5d","🇨🇦 OH CANADA 🇨🇦 Wake up!",61.718,13300,2066,"original sound - Helena","['#unitednoncompliance', '#Canada', '#justsayno', '#ottawa', '#freedomconvoy2022', '#freedom', '#holdtheline', '#standstrong', '#wethefringe', '#foryoupage', '#foryou', '#awakening', '#thegreatreset', '#freedomfighter', '#freedom', '#Realtek', '#truth', '#truckerconvoy2022', '#parliament']"
6909133094788336897,"financeoptimum2021","",32.646,12400,302,"original sound - Finance Optimum","['#chamathpalihapitiya', '#finance', '#greatreset', '#thegreatreset', '#economy', '#psyop', '#fyp']"
6988194682790612230,"enlightenedprophets","",13.883,12100,486,"original sound - ENLIGHTENED PROPHETS","['#DrFraudci', '#Covid19', '#TheGreatReset']"
7081105583549500677,"helena_5d","🇨🇦 BIKER CONVOY OTTAWA? 🇨🇦",33.807,12000,1222,"original sound - Helena","['#bikerconvoy2022', '#Ottawa', '#canada', '#freedomconvoy2022', '#freedomconvoy', '#share', '#trending', '#foryou', '#unitednoncompliance', '#justsayno', '#holdtheline', '#awakening', '#freedomfighter', '#reelitfeelit', '#newworldorder', '#thegreatreset', '#cbdc', '#revolution', '#control', '#censorship', '#standunited', '#rightsandfreedoms', '#charterofrights', '#mindbodysoul', '#god']"
7053707979228515589,"ropinhunter","",119.373,11100,1042,"original sound - Ody","['#nomorelies', '#fightback', '#carbontaxlies', '#unvaxxedtax', '#wakeup', '#thegreatreset']"
7053830112541773061,"groningsgebeuk","",13.165,11000,900,"They Don't Care About Us (Remastered Version) - Michael Jackson","['#viraal', '#fy', '#fypシ゚viral', '#foryoupage', '#thegreatreset', '#media', '#protest', '#amsterdam', '#viral', '#covid19', '#viraal', '#politics', '#parlement', '#virus', '#foryoupage']"
7080636929628245291,"marcmalone","Big Announcment. Making history.",59.185,10500,1090,"original sound - marcmalone","['#thegreatreset', '#esg', '#socialcreditscore', '#sustainability', '#tyranny', '#biden', '#wef', '#socialism', '#communism', '#globalism', '#trump']"
7038243589897391366,"beardwings","",11.563,9817,476,"Not Afraid - Eminem","['#freebelgium', '#strongtogether', '#newworldorder', '#gentherapie', '#thegreatreset', '#covidhaox', '#agenda2030', '#revulotion']"
7030496263271369990,"cryptomasun","Thoughts on this alternate perspective? 🥶🥶🥶",59.209,9481,1466,"Spooky, quiet, scary atmosphere piano songs - Skittlegirl Sound","['#bitcoin', '#crypto', '#cryptocurrency', '#money', '#finance', '#thegreatreset']"
7054292821108493615,"erynkellz","Seems legit.",9.541,9271,447,"are you listening yet - terintino","['#elites', '#nwo', '#thegreatreset', '#iykyk', '#fyp', '#fy', '#foryou']"
7066975299816164610,"ozgyp","",122.182,9124,496,"Gustavo Santaolalla-Babel - 陈秋秋","['#joerogan', '#podcast', '#maajidnawaz', '#thegreatreset', '#newworldorder', '#checkpointsociety', '#digitalid', '#tiktokaustralia', '#breakingnews', '#fy', '#fyou', '#fypage']"
7078480802580942085,"muumbojumbo","Bravo at the creator of this audio.",18.132,8700,336,"original sound - Tik Toker","['#wakeup🗣🧠', '#nwo', '#wef', '#criticalthinking', '#awakeningsouls', '#redpill', '#thetimeisnow', '#thegreatreset']"
7060282106194251055,"sebastiansaldarriagas","",170.873,8690,667,"When I Ride - Ashley Mehta","['#reseteomundial', '#reseteoeconomico', '#monetarysystem', '#thegreatreset', '#nuevoorden', '#remix', '#youdontknow', '#latinxcreatives', '#origin', '#rutina', '#vicentefernandez', '#fy']"
7031258478249266438,"the_great_reset_2021","",180.184,8128,339,"origineel geluid - the_great_reset_2021","['#thegreatreset']"
6996044333870828806,"unfilteredhumans","wtf is wrong with the people over at Salon",12.584,7578,1892,"original sound - Unfiltered Human","['#greenscreen', '#unvaccinated', '#america', '#salon', '#dumb', '#divide', '#divideandconquer', '#thegreatreset', '#willingslave']"
7069519999463034158,"cdnpatriot2.0","Worlds Fair: ChIcago 1893 🎡",59.812,7417,475,"original sound - Jolene","['#worldsfair', '#chicago', '#makeitmakesense', '#thegreatreset', '#tartaria', '#tartarianempire', '#erasehistory', '#globalism']"
7051657043211603246,"erynkellz","What’s really happening is beyond comprehension.",160.308,7294,785,"TO THE MOON - Jnr Choi & Sam Tompkins","['#nwo', '#thegreatreset', '#antichrist', '#endtimes', '#lastdays', '#ipetgoat', '#wakeup', '#beastsystem', '#camps', '#fyp']"
6913540598129528069,"coachjv_","",59.232,156900,2749,"original sound - Coach JV","['#thegreatreset', '#fyp', '#coachjv_']"
7082027121534668074,"stevoexperience","",44.557,7222,816,"original sound - StevoExperience","['#thegreatreset']"
6902496962587790597,"coachjv_","",59.117,65800,1758,"original sound - Coach JV","['#thegreatreset', '#fyp', '#coachjv_']"
7069063471777991982,"cdnpatriot2.0","Us Border Patrol",25.075,6420,689,"original sound - Jolene","['#ukraine', '#ukraine🇺🇦', '#makeitmakesense', '#thegreatreset', '#russia', '#worldeconomicforum']"
7026123755688709381,"ickonicthealternative","We are more powerful than than they would have you think",118.582,6241,509,"original sound - ICKONIC","['#fyp', '#thegreatreset', '#conspiracytiktok', '#awakeningsouls']"
