v_id,creator,desc,duration,likes,comments,sound,tags
7053060741003250949,"pronakb02","DALE DR ENÉAS! 🇧🇷🤝",64.667,1271,35,"som original - 🇧🇷","['#prona', '#nacionalismo', '#esquerda', '#direita', '#fyp', '#eneascarneiro', '#forabolsonaro', '#lulaladrao', '#foryou', '#thirdposition']"
7084323273760050438,"navarr_.q","imagenes de el canal de yt NacionalismoTV tiene canciones muy buenas se las recomiendo",21.917,836,19,"original sound - Slowed songs 🖤","['#fyp', '#based', '#catholictiktok', '#españa', '#chad', '#nacionalismo', '#3rdposition', '#terceraposicion', '#thirdposition', '#ww2', '#franciscofranco🇪🇦', '#franciscofrancocaudillodeespaña', '#guerracivilespañola', '#francoism', '#franquista', '#joseantonioprimoderivera', '#falangeespañola', '#imperioespañol']"
7080371499596647686,"navarr_.q","edit Sinarquista? 😳",15.903,633,91,"original sound - Q","['@Hernández', '@Wow tilín', '@Noah', '@naoh', '#fyp', '#based', '#catholictiktok', '#joseantonioprimoderivera', '#falangismo', '#nacionalismo', '#3rdposition', '#terceraposicion', '#thirdposition', '#nacionalsinarquismo', '#mex', '#vivamexico', '#mexico', '#sinarquismo', '#sinarquista_boy']"
7069122866729471238,"british.catholic","",38.66,578,74,"original sound - British.Catholic","['#thirdposition', '#rightwing', '#farright', '#politcs', '#politicstiktok', '#reactionary', '#uk', '#england', '#nationalism', '#chauvinist', '#falangist', '#falangism', '#joseantonio']"
7040480769860488454,"its_arimuppet","THIRD! WAHOOOO!!",15.115,467,6,"Su Payita (Gramos) - Bad Gyal","['#landonorris', '#teamquadrant', '#mclaren', '#thirdposition', '#f1', '@ariydojamisnovias']"
7067803121136782597,"british.catholic","",10.169,433,59,"Disaster - KSLV Noh","['#boris', '#england', '#falangism', '#falangist', '#reactionary', '#politicstiktok', '#politcs', '#farright', '#farleftsucks', '#rightwing', '#socialist', '#capitalist', '#thirdposition']"
6825697839176240389,"xxarcticxsniper","Gamers will understand",13.745,425,2,"original sound - Arctic troll","['#gamer', '#gaming', '#covid', '#thirdposition']"
7080888605865987370,"shaynegatoux","",9.241,429,5,"sonido original - Esteve <3","['#faith', '#god', '#crusader', '#tradwave', '#edit', '#tradition', '#thirdposition', '#nationalist', '#nationalism', '#fatherland', '#motherland', '#fyp', '#foryoupage', '#fypシ']"
7066668453909777669,"british.catholic","",8.428,314,337,"original sound - Ramiro Ledesma Ramos enjoyer","['#tiktokpoll', '#LinkBudsNeverOff', '#reactionary', '#conservative', '#politcs', '#politicsswag', '#politicstiktok', '#uk', '#england', '#capitalist', '#socialist', '#thirdposition']"
7047779215890042139,"poudel_ramu25","",20.2,312,20,"original sound - Santosh Dulal","['#thirdposition', '#slowcyclerace🚴']"
7081391788564450565,"navarr_.q","Ave Duce ✋🏻",16.112,311,9,"original sound - Tik Toker","['#fyp', '#based', '#nacionalismo', '#3rdposition', '#terceraposicion', '#thirdposition', '#fascistitaly', '#benito', '#ww2', '#italia', '#italy🇮🇹', '#italiannationalism', '#benitomussolin1']"
6753333421298224389,"love_to_dance_1_2_3","Not my best but love it anyway.",15.069,292,9,"Giselle Ballet Music - The Royal Vals Orchestra","['#ballet', '#iloveballet', '#point', '#firstposition', '#secondposition', '#thirdposition', '#fourthposition', '#fithposition']"
7069505594075385094,"british.catholic","",10.169,275,100,"Smells Like Drill Spirit Freestyle - Ddark","['#falangist', '#chauvinist', '#nationalism', '#england', '#uk', '#reactionary', '#politicstiktok', '#politcs', '#farright', '#rightwing', '#thirdposition', '#patriot', '#patriotism']"
7061357383787744517,"yatah_yabua_twins","Victoryy!!Proud of the Lions🇨🇲🇨🇲😍❤...",14.674,268,6,"son original - Henry_eldiablo","['@d.squared13', '#afcon2021', '#cameroun', '#thirdposition', '#viralvideo', '#fypage', '#trending', '#football', '#cameroutiktok']"
6945691127286680838,"velika_slovenija","",59.164,265,26,"original sound - Velika_Slovenija","['#thirdposition', '#nationalism', '#based', '#slovenija', '#antiglobalism']"
7066704084706905350,"british.catholic","",10.169,263,55,"original sound - Ramiro Ledesma Ramos enjoyer","['#LinkBudsNeverOff', '#thirdposition', '#socialist', '#capitalist', '#england', '#uk', '#politicstiktok', '#politicsswag', '#politcs', '#conservative', '#reactionary', '#tiktokpoll']"
7068781048724819205,"british.catholic","",10.169,241,95,"original sound - ftbl.nss","['#thirdposition', '#rightwing', '#farright', '#politcs', '#politicstiktok', '#reactionary', '#uk', '#england', '#nationalism', '#chauvinist', '#patriot', '#patriotism', '#patriotic']"
6991533713003646213,"xenoandro","",12.166,237,17,"original sound - Jean-Victor","['#SummerMashup', '#HPRadicalReuse', '#WelcomeBack', '#theocraticdistributism', '#thirdposition', '#communism', '#anarchocommunism', '#autism', '#dankmemes', '#acab', '#food', '#blm']"
7068353004260330757,"british.catholic","",10.169,166,15,"original sound - ftbl.nss","['#patriotic', '#patriotism', '#patriot', '#chauvinist', '#nationalism', '#england', '#uk', '#reactionary', '#politicstiktok', '#politcs', '#farright', '#rightwing', '#thirdposition']"
6970116017376857350,"theculturalpessimist_old","",22.451,154,0,"original sound - TheCulturalPessimist","['#rome', '#politics', '#traditionalism', '#conservatism', '#thirdposition', '#culturalpessimism']"
6978270641896115462,"heineken.krieg","Father and Son. ⚡🇬🇧",47.879,136,0,"sonido original - 𝘾𝙧𝙮𝙥𝙩𝙞𝙘","['#oswaldmosleyedit', '#oswaldmosley', '#worldwar2edits', '#thirdposition', '#war', '#waredit', '#nationalist', '#nacionalismo']"
7069039901282405637,"british.catholic","",10.169,122,17,"original sound - AB7","['#patriotic', '#patriotism', '#patriot', '#chauvinist', '#nationalism', '#england', '#uk', '#reactionary', '#politicstiktok', '#politcs', '#farright', '#rightwing', '#thirdposition']"
7044249614018546950,"westernwarlord","Setting the record straight on a few things",7.753,111,35,"Hot n Cold - что","['#thirdposition', '#poli', '#HolidayYourWay']"
7066719583608130821,"british.catholic","",9.682,110,21,"LONG LIVE FRANCE - Imperial France 🇫🇷","['#LinkBudsNeverOff', '#tiktokpoll', '#reactionary', '#conservative', '#politcs', '#politicsswag', '#politicstiktok', '#uk', '#england', '#capitalist', '#socialist', '#thirdposition']"
6810801648798125317,"maddie.deee","Dancers what does this MEAN",31.276,106,7,"original sound - maddie","['#dance', '#position', '#fingers', '#thirdposition', '#knowledge', '#needtoknow', '#help', '#randomthoughts']"
7066731353320000774,"british.catholic","",10.169,104,35,"LONG LIVE FRANCE - Imperial France 🇫🇷","['#LinkBudsNeverOff', '#thirdposition', '#socialist', '#capitalist', '#england', '#uk', '#politicstiktok', '#politicsswag', '#politcs', '#conservative', '#reactionary', '#tiktokpoll']"
