v_id,creator,desc,duration,likes,comments,sound,tags
7056525255120014639,"andrew.callaghan","",27.838,2900000,15700,"original sound - Andrew Callaghan","['#whiteboysummer']"
7052456613399055662,"theandrewschulz","White boy winter in full effect 💀",38.868,535100,844,"original sound - Andrew Schulz","['#andrewschulz', '#standupcomedy', '#roast', '#boostofhope', '#reaction', '#comedy', '#fypシ', '#funny', '#yt', '#whiteboysummer']"
7063545427534089519,"connor_kuchenmeister","",12.629,456300,1715,"original sound - Connor","['#whiteboy', '#interracialcouple', '#asiangirl', '#abs', '#chad', '#megachad', '#wasian', '#asiangirltiktok', '#whiteboysummer']"
6957086143078796550,"themostperfecthumanalive","idea creds to",6.313,194900,4770,"whoopty clocks - demotapes","['#whiteboysummer', '@liqamadiqa']"
6951569699876506886,"jamesmecca","White boy summer is over, it’s dilf summer now gentlemen",34.131,191500,3297,"The Home Depot Beat - The Home Depot","['#whiteboysummer', '#summer', '#dad', '#homedepot', '#change', '#seasons', '#daddy', '#mustache', '#stache', '#glowup']"
6950785162133130501,"its_cube","I <3 b00bies",15.207,182500,2422,"Hello (Single Edit) - Martin Solveig & Dragonette","['#whiteboysummer', '#electropop', '#2010s', '#obama']"
7004807684557950210,"lilyungguy","there’s always next year?",9.541,171700,400,"original sound - ineffablehaven","['#fypシ', '#hotboysummer', '#whiteboysummer']"
6956981121502432517,"benawad","",8.775,162400,4412,"Barking - goalsounds","['#whiteboysummer']"
6944898811554794758,"jakeissupercool","White boy summer tips",59.162,119800,1022,"original sound - spragels","['#whiteboysummer', '#tip', '#rules', '#comedy', '#chethanks', '#summer', '#fyp', '#foryoupage']"
6951457610860154117,"toridipaolo","Reply to",13.442,103300,468,"Tori DiPaolo white boy summer - Tori DiPaolo","['@annabrackett64', '#whiteboysummer']"
6950434707582487814,"gsanf","The Summer Soldier...",59.232,92500,753,"original sound - Lord Ethan","['#DontSweatIt', '#summertime', '#whiteboysummer', '@simp_lord_papa_palpatine']"
7075787021733907758,"namjoonsexybrain4","I used to think I had a chance like girl you look like an Oompa Loompa😩😪",8.078,179500,2187,"why is my sound famous - faith","['#fypシ', '#funny', '#whiteboysummer']"
6946379582161292550,"yassificationn","",13.279,87700,1628,"original sound - montie","['#greenscreen', '#timotheechalamet', '#whiteboysummer', '#azealiabanks', '#nickiminaj']"
7064254588529954095,"connor_kuchenmeister","",14.069,83700,1044,"original sound - Connor","['#holister', '#whiteboys', '#whiteboy', '#whiteboysummer', '#chad', '#italiano']"
6957022239988501765,"queercameron","Reply to",23.474,80300,1321,"original sound - Cameron Spears","['@mushroomdude5', '#spongebob', '#whiteboysummer']"
6954415246807190789,"claudemonae","Happy white boy summer.",55.331,142200,5461,"original sound - claudemonae","['#Destinationdepop', '#whiteboysummer', '#whiteboysummer2021']"
7001542555858898181,"_verifiedcreator","with",12.049,70800,882,"Ok Cool - CEO Trayle","['#stitch', '@carsonwootton40', '#drumarjohnson', '#downbad', '#whiteboysummer', '#pain', '#theboys', '#foryoupage', '#fypシ']"
6944380508382022917,"bigginsmall","get ready",35.06,68300,2179,"original sound - bigginsmall","['#chethanks', '#tomhanks', '#whiteboysummer']"
7064256506778176814,"connor_kuchenmeister","",8.752,57800,747,"original sound - Connor","['#whiteboys', '#whiteboy', '#whiteboysummer', '#chads', '#chad', '#whiteboyofthemonth', '#favwhiteboy']"
6947079359714954501,"2ugox","so when am i gonna tell my asian parents im a “radical” leftist 😩😩😩",9.866,52500,1113,"NO MORE FORTNITE - Dom","['#asian', '#leftist', '#whiteboysummer']"
6946167289033100550,"espinosuhhhh","Everyone knows summer is for hot girls only I mean PLEASE",11.515,47800,147,"original sound - Caroline","['#whiteboysummer', '#givethanksnotpranks']"
6963692957111160069,"maddchadd","Boat bot can make ya dance 🦾🤖",17.482,47700,236,"I Can Make You Dance - Zapp & Roger","['#icanmakeyoudance', '#boatbot', '#imonaboat', '#humanrobot', '#whiteclaw', '#whiteboysummer']"
7060373118530899246,"shotbymedz","with",27.838,46600,41,"original sound - Andrew Callaghan","['#duet', '@andrew.callaghan', '#whiteboysummer', '#hotgirlsummer🧚🏽\u200d♂️', '#summer', '#funnyvideo', '#trending']"
6963005306754452742,"lordwillis","My New Baby",10.981,41800,518,"DoubleCup prod. by miyokibeats - kris32102","['#cartok', '#bimmer', '#whiteboysummer', '#bmw', '#m4comp', '#m4']"
6945242754821704965,"therealdirtydes","can I get a round of applause?",58.814,40700,1020,"original sound - desthed0n","['#whiteboysummer', '#fypage']"
6964465101474647302,"shane.nickels","Answer to",15.183,39900,1503,"original sound - The Real Shane Nickels","['@faithk2023', '#fy', '#foryou', '#whiteboysummer', '#nickelsnation', '#shanenickels']"
6967775938557775109,"grassfedgeorge","",16.182,37800,697,"original sound - grassfedgeorge","['#whiteboysummer', '#Holdmybeer', '#cryforhelp', '#masculinitysofragile', '#bro', '#fitness', '#fyp']"
6968380584955481350,"realbgkumbi","with",15.369,37500,895,"original sound - Kay 🤎","['#duet', '@kayonmarz99', '#WhiteBoySummer']"
